id,code,first_name,second_name,web_name,team,position,price,fbref_id
465,178186,Jarrod,Bowen,Bowen,19,M,8.0,79c84d1c
467,204480,Declan,Rice,Rice,19,M,4.7,1c7012b8
468,215439,Tomas,Soucek,Soucek,19,M,5.1,6613c819
469,217593,Pablo,Fornals Malla,Fornals,19,M,4.9,82927de4
471,222018,Ben,Johnson,Johnson,19,D,4.4,9319781b
472,210494,Nayef,Aguerd,Aguerd,19,D,4.8,288e1e13
509,220585,Flynn,Downes,Downes,19,M,4.2,69fdb896
529,195899,Gianluca,Scamacca,Scamacca,19,F,6.6,8790f988
545,109533,Emerson,Palmieri dos Santos,Emerson,19,D,4.0,e0bc6fdc
588,201057,Thilo,Kehrer,Kehrer,19,D,4.4,51dbeea9
603,224024,Lucas,Tolentino Coelho de Lima,Paquetá,19,M,5.9,9b6f7fd5
459,60232,Craig,Dawson,Dawson,20,D,4.8,3e9e06cb
476,102057,Raúl,Jiménez,Jiménez,20,F,6.7,b561db50
477,114128,Jonathan,Castro Otto,Jonny,20,D,4.3,e28868f3
480,171317,Rúben,da Silva Neves,Neves,20,M,5.4,44bfb6c5
481,184754,Hwang,Hee-chan,Hwang,20,M,5.7,169fd162
482,200402,Nélson,Cabral Semedo,Semedo,20,D,5.0,d04b94db
483,200600,Daniel,Castelo Podence,Podence,20,M,5.3,7fcc71d8
484,214048,Max,Kilman,Kilman,20,D,4.4,d0f72bf1
486,247632,Pedro,Lomba Neto,Neto,20,M,4.9,7ba2eaa9
487,448514,Rayan,Aït-Nouri,Aït-Nouri,20,D,4.2,9b398aea
489,510362,Toti António,Gomes,Toti,20,D,3.9,f0caab96
491,159533,Adama,Traoré Diarra,Adama,20,M,5.4,9a28eba4
503,19624,João Filipe Iria,Santos Moutinho,Moutinho,20,M,4.7,f5a00fa4
516,432830,Nathan,Collins,Collins,20,D,4.4,a8c19eb8
558,490721,Hugo,Bueno López,Bueno,20,D,3.9,bfc3b3a0
579,181284,Gonçalo Manuel,Ganchinho Guedes,Guedes,20,M,5.8,e6bc67d7
589,465351,Matheus Luiz,Nunes,Matheus,20,M,4.8,e6af02e0
625,18507,Diego,Da Silva Costa,Diego Costa,20,F,5.4,a190d597
629,476502,Boubacar,Traoré,Traoré,20,M,4.3,999ceb5f
682,430871,Matheus,Santos Carneiro Da Cunha,Cunha,20,F,5.5,dc62b55d
704,88484,Pablo,Sarabia,Sarabia,20,M,5.5,
