Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2023-01-13,Matchweek 20,Home,W 2–1,Aston Villa,Leeds United,N,81,0,0,0,0,2,1,0,0,76,0,0,2,0.1,0.1,0.1,1,0,40,60,66.7,4,43,1,1,5,23,37,16,2,76,20.0,3,60.0,214,94,0,0,3,1,44,6,0.1,1,1,0
2023-01-21,Matchweek 21,Away,W 1–0,Aston Villa,Southampton,Y,90,0,0,0,0,2,0,1,0,84,3,0,0,0.1,0.1,0.2,3,0,56,72,77.8,1,45,0,0,2,22,37,26,1,84,0.0,2,100.0,141,47,2,0,3,2,50,7,0.1,2,2,2
2023-02-04,Matchweek 22,Home,L 2–4,Aston Villa,Leicester City,N,45,0,0,0,0,2,0,0,0,38,0,0,0,0.1,0.1,0.0,1,0,20,34,58.8,1,19,4,1,0,4,13,21,6,38,50.0,0,0.0,122,66,2,2,1,1,32,14,0.0,0,0,0
2023-02-12,Matchweek 23,Away,L 1–3,Aston Villa,Manchester City,N,31,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,1,0,12,14,85.7,1,8,1,3,0,8,6,5,1,19,100.0,0,0.0,39,19,0,0,2,0,12,3,0.0,1,0,0
2023-02-18,Matchweek 24,Home,L 2–4,Aston Villa,Arsenal,Y,77,0,1,0,0,0,0,0,0,37,3,1,4,0.0,0.0,0.3,2,1,14,21,66.7,1,10,1,0,7,26,10,2,1,37,,0,,47,34,0,0,3,2,10,1,0.0,2,1,0
