Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA
2022-08-07,Matchweek 1,Home,L 1–2,Manchester Utd,Brighton,Y,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,78.0,1.0,3.0,0.0,0.3,0.3,0.1,3.0,0.0,47.0,64.0,73.4,4.0,0.0,4.0,25.0,30.0,23.0,5.0,78.0,0.0,2.0,0.0,43.0,843.0,245.0,0.0,2.0,5.0,2.0,1.0
2022-08-13,Matchweek 2,Away,L 0–4,Manchester Utd,Brentford,Y,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,84.0,0.0,0.0,0.0,0.1,0.1,0.1,4.0,0.0,55.0,80.0,68.8,3.0,1.0,2.0,17.0,27.0,41.0,4.0,84.0,100.0,0.0,1.0,59.0,844.0,261.0,0.3,2.0,5.0,3.0,1.0
2022-08-22,Matchweek 3,Home,W 2–1,Manchester Utd,Liverpool,Y,85.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,39.0,3.0,3.0,3.0,0.0,0.0,0.4,2.0,0.0,17.0,26.0,65.4,2.0,0.0,7.0,19.0,14.0,6.0,1.0,39.0,,0.0,0.0,15.0,285.0,151.0,0.0,2.0,1.0,0.0,0.0
2022-08-27,Matchweek 4,Away,W 1–0,Manchester Utd,Southampton,Y,90.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,4.0,2.0,1.0,0.0,0.0,0.2,2.0,1.0,36.0,52.0,69.2,3.0,2.0,8.0,20.0,29.0,16.0,1.0,65.0,100.0,2.0,0.0,31.0,650.0,260.0,0.3,2.0,2.0,3.0,2.0
2022-09-01,Matchweek 5,Away,W 1–0,Manchester Utd,Leicester City,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,51.0,66.0,77.3,0.0,0.0,4.0,36.0,27.0,13.0,2.0,75.0,,2.0,0.0,36.0,905.0,463.0,0.0,1.0,5.0,0.0,0.0
2022-09-04,Matchweek 6,Home,W 3–1,Manchester Utd,Arsenal,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,3.0,0.0,0.0,0.1,1.0,0.0,29.0,43.0,67.4,1.0,1.0,8.0,30.0,18.0,7.0,1.0,55.0,100.0,0.0,1.0,22.0,599.0,213.0,0.1,1.0,2.0,1.0,1.0
2022-10-02,Matchweek 9,Away,L 3–6,Manchester Utd,Manchester City,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.0,0.0,1.0,4.0,0.0,0.0,0.1,2.0,0.0,51.0,55.0,92.7,2.0,0.0,6.0,24.0,28.0,10.0,0.0,62.0,,0.0,0.0,40.0,849.0,222.0,0.0,1.0,4.0,0.0,0.0
2022-10-09,Matchweek 10,Away,W 2–1,Manchester Utd,Everton,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,2.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,47.0,56.0,83.9,2.0,1.0,4.0,23.0,28.0,14.0,1.0,65.0,50.0,2.0,0.0,43.0,874.0,277.0,0.0,0.0,3.0,2.0,0.0
2022-10-16,Matchweek 11,Home,D 0–0,Manchester Utd,Newcastle Utd,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,3.0,1.0,0.0,0.0,0.0,0.1,3.0,0.0,55.0,65.0,84.6,1.0,0.0,4.0,29.0,23.0,20.0,1.0,72.0,,0.0,0.0,49.0,1056.0,281.0,0.1,2.0,6.0,2.0,1.0
2022-10-19,Matchweek 12,Home,W 2–0,Manchester Utd,Tottenham,Y,90.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,77.0,0.0,1.0,0.0,0.2,0.2,0.1,2.0,0.0,61.0,70.0,87.1,4.0,2.0,4.0,13.0,38.0,26.0,4.0,77.0,40.0,1.0,0.0,51.0,1086.0,272.0,0.1,2.0,6.0,2.0,1.0
2022-10-22,Matchweek 13,Away,D 1–1,Manchester Utd,Chelsea,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,56.0,69.6,3.0,0.0,5.0,20.0,31.0,17.0,2.0,68.0,0.0,1.0,0.0,34.0,626.0,317.0,0.1,1.0,2.0,1.0,1.0
2022-10-30,Matchweek 14,Home,W 1–0,Manchester Utd,West Ham,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,4.0,3.0,1.0,0.0,0.0,0.2,4.0,0.0,33.0,43.0,76.7,1.0,1.0,9.0,23.0,22.0,12.0,1.0,57.0,100.0,0.0,1.0,23.0,627.0,213.0,0.1,4.0,2.0,2.0,2.0
2022-11-06,Matchweek 15,Away,L 1–3,Manchester Utd,Aston Villa,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,50.0,67.0,74.6,4.0,1.0,1.0,18.0,39.0,20.0,2.0,75.0,50.0,1.0,1.0,47.0,986.0,210.0,0.0,0.0,5.0,2.0,1.0
