Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-13,Matchweek 2,Away,D 0–0,Fulham,Wolves,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20,Matchweek 3,Home,W 3–2,Fulham,Brentford,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-27,Matchweek 4,Away,L 1–2,Fulham,Arsenal,N,12,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,2,4,0,1,0,5,,0,,3,0,0,0,0,0,2,0,0.0,0,0,0
2022-08-30,Matchweek 5,Home,W 2–1,Fulham,Brighton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-03,Matchweek 6,Away,L 1–2,Fulham,Tottenham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-16,Matchweek 8,Away,W 3–2,Fulham,Nott'ham Forest,Y,90,0,0,0,0,0,0,1,0,112,0,0,0,0.0,0.0,0.0,0,0,94,107,87.9,4,92,0,1,7,38,74,1,0,112,100.0,0,0.0,811,499,0,0,0,0,92,0,0.0,0,0,0
2022-10-01,Matchweek 9,Home,L 1–4,Fulham,Newcastle Utd,N,46,0,0,0,0,0,0,0,0,29,0,1,1,0.0,0.0,0.0,0,0,23,27,85.2,2,17,1,0,10,21,9,0,0,29,,0,,77,45,0,0,0,0,21,0,0.0,0,0,0
2022-10-09,Matchweek 10,Away,L 1–3,Fulham,West Ham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-15,Matchweek 11,Home,D 2–2,Fulham,Bournemouth,Y,90,1,0,0,0,1,1,0,0,107,1,0,0,0.2,0.2,0.0,1,0,96,102,94.1,13,86,0,1,7,41,64,3,1,107,100.0,0,0.0,470,302,1,0,1,0,91,0,0.1,0,1,0
2022-10-20,Matchweek 12,Home,W 3–0,Fulham,Aston Villa,Y,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,45,52,86.5,2,39,0,0,4,24,32,0,0,55,,0,,199,133,0,0,0,0,44,0,0.0,0,0,0
2022-10-23,Matchweek 13,Away,W 3–2,Fulham,Leeds United,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-29,Matchweek 14,Home,D 0–0,Fulham,Everton,Y,90,0,0,0,0,0,0,0,0,65,2,1,1,0.0,0.0,0.0,1,0,53,58,91.4,3,37,1,0,3,36,27,2,0,65,,0,,296,237,0,0,0,0,44,1,0.0,0,0,0
2022-11-05,Matchweek 15,Away,L 1–2,Fulham,Manchester City,Y,90,0,0,0,0,1,0,0,0,49,3,0,1,0.0,0.0,0.0,0,0,30,38,78.9,2,25,0,0,13,26,23,1,1,49,,0,,149,94,0,0,0,0,28,0,0.0,0,0,0
2022-11-13,Matchweek 16,Home,L 1–2,Fulham,Manchester Utd,Y,90,0,0,0,0,0,0,0,0,62,2,1,1,0.0,0.0,0.0,2,0,49,56,87.5,2,40,2,0,9,35,26,2,2,62,,0,,267,177,0,0,0,0,40,0,0.0,1,0,0
2022-12-26,Matchweek 17,Away,W 3–0,Fulham,Crystal Palace,Y,90,0,0,0,0,1,1,0,0,83,2,5,0,0.0,0.0,0.0,0,0,61,74,82.4,8,48,1,0,3,28,53,4,2,83,,0,,324,213,1,0,0,0,50,0,0.0,0,0,0
2022-12-31,Matchweek 18,Home,W 2–1,Fulham,Southampton,Y,90,0,0,0,0,0,0,0,0,117,2,1,1,0.0,0.0,0.0,0,0,85,104,81.7,3,73,0,0,4,51,67,0,0,117,,0,,424,335,0,0,3,0,79,0,0.0,0,0,0
2023-01-03,Matchweek 19,Away,W 1–0,Fulham,Leicester City,N,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,1,2,0,0,0,2,,0,,0,0,0,0,0,0,0,0,0.0,0,0,0
2023-01-12,Matchweek 7,Home,W 2–1,Fulham,Chelsea,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15,Matchweek 20,Away,L 0–1,Fulham,Newcastle Utd,Y,89,0,0,0,0,0,0,0,0,40,2,3,6,0.0,0.0,0.0,0,0,22,26,84.6,1,22,0,0,13,23,15,2,0,40,,0,,93,20,0,0,0,0,22,1,0.0,0,1,0
2023-01-23,Matchweek 21,Home,L 0–1,Fulham,Tottenham,Y,90,0,0,0,0,0,0,0,0,74,2,3,1,0.0,0.0,0.0,1,0,57,66,86.4,4,39,0,0,2,21,51,2,2,74,,0,,279,119,0,0,0,0,52,1,0.0,0,0,0
2023-02-03,Matchweek 22,Away,D 0–0,Fulham,Chelsea,Y,90,0,0,0,0,0,0,0,0,48,1,1,2,0.0,0.0,0.0,0,0,26,36,72.2,1,23,0,0,9,28,21,0,0,48,,0,,217,139,0,0,0,0,23,0,0.0,0,0,0
2023-02-11,Matchweek 23,Home,W 2–0,Fulham,Nott'ham Forest,Y,90,0,0,0,0,0,0,0,0,62,1,2,0,0.0,0.0,0.0,0,0,39,56,69.6,1,52,2,0,5,30,31,1,0,62,0.0,1,100.0,395,302,0,0,1,0,46,0,0.0,0,0,0
2023-02-18,Matchweek 24,Away,W 1–0,Fulham,Brighton,Y,90,0,0,0,0,0,0,1,0,61,0,4,3,0.0,0.0,0.0,0,0,44,50,88.0,1,35,0,0,11,42,20,0,0,61,,0,,136,74,0,0,0,0,41,0,0.0,0,0,0
