Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA
2022-08-20,Matchweek 3,Home,L 1–2,Leicester City,Southampton,Y,75.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,17.0,26.0,65.4,1.0,1.0,2.0,4.0,18.0,15.0,3.0,37.0,100.0,4.0,2.0,31.0,228.0,20.0,0.0,0.0,1.0,0.0,0.0
2022-08-27,Matchweek 4,Away,L 1–2,Leicester City,Chelsea,Y,90.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,41.0,0.0,0.0,0.0,0.3,0.3,0.0,3.0,1.0,21.0,30.0,70.0,2.0,0.0,1.0,7.0,13.0,21.0,4.0,41.0,0.0,1.0,1.0,35.0,251.0,76.0,0.0,0.0,2.0,1.0,0.0
2022-09-01,Matchweek 5,Home,L 0–1,Leicester City,Manchester Utd,Y,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,0.0,1.0,1.0,0.2,0.2,0.0,1.0,0.0,20.0,28.0,71.4,4.0,1.0,0.0,3.0,13.0,27.0,3.0,43.0,16.7,3.0,3.0,34.0,228.0,88.0,0.1,0.0,1.0,2.0,0.0
2022-09-04,Matchweek 6,Away,L 2–5,Leicester City,Brighton,Y,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,6.0,8.0,75.0,1.0,0.0,1.0,2.0,5.0,6.0,1.0,13.0,,1.0,2.0,8.0,95.0,10.0,0.0,0.0,0.0,1.0,0.0
2022-09-17,Matchweek 8,Away,L 2–6,Leicester City,Tottenham,Y,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,1.0,1.0,2.0,0.2,0.2,0.0,1.0,0.0,28.0,33.0,84.8,3.0,1.0,0.0,6.0,11.0,28.0,5.0,44.0,50.0,4.0,3.0,29.0,323.0,92.0,0.1,0.0,2.0,1.0,0.0
2022-10-03,Matchweek 9,Home,W 4–0,Leicester City,Nott'ham Forest,Y,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,43.0,1.0,0.0,3.0,0.2,0.2,0.2,6.0,1.0,17.0,26.0,65.4,3.0,0.0,0.0,2.0,17.0,25.0,8.0,43.0,0.0,2.0,0.0,35.0,233.0,88.0,0.1,3.0,2.0,2.0,0.0
2022-10-08,Matchweek 10,Away,L 1–2,Leicester City,Bournemouth,Y,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,40.0,4.0,0.0,1.0,0.1,0.1,0.0,1.0,1.0,17.0,25.0,68.0,4.0,2.0,0.0,6.0,14.0,20.0,4.0,40.0,40.0,3.0,2.0,29.0,192.0,70.0,0.0,0.0,1.0,3.0,0.0
2022-10-15,Matchweek 11,Home,D 0–0,Leicester City,Crystal Palace,Y,84.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,37.0,0.0,0.0,1.0,0.2,0.2,0.2,5.0,0.0,23.0,25.0,92.0,2.0,0.0,0.0,2.0,7.0,29.0,6.0,37.0,0.0,6.0,1.0,35.0,222.0,65.0,0.1,1.0,1.0,1.0,0.0
2022-10-20,Matchweek 12,Home,W 2–0,Leicester City,Leeds United,Y,84.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,14.0,19.0,73.7,3.0,1.0,1.0,3.0,11.0,16.0,2.0,30.0,25.0,4.0,3.0,25.0,225.0,79.0,0.0,0.0,2.0,0.0,0.0
2022-10-23,Matchweek 13,Away,W 4–0,Leicester City,Wolves,Y,78.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,2.0,0.0,0.0,0.2,0.2,0.0,3.0,3.0,18.0,25.0,72.0,2.0,0.0,0.0,8.0,10.0,17.0,3.0,34.0,0.0,0.0,0.0,25.0,212.0,103.0,0.0,0.0,1.0,1.0,0.0
2022-10-29,Matchweek 14,Home,L 0–1,Leicester City,Manchester City,Y,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,27.0,1.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,12.0,18.0,66.7,1.0,2.0,0.0,7.0,12.0,9.0,3.0,27.0,100.0,1.0,1.0,20.0,189.0,28.0,0.0,0.0,2.0,0.0,0.0
2022-11-05,Matchweek 15,Away,W 2–0,Leicester City,Everton,Y,90.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,41.0,0.0,0.0,0.0,0.8,0.8,0.1,2.0,1.0,26.0,34.0,76.5,5.0,0.0,1.0,2.0,21.0,20.0,6.0,41.0,0.0,1.0,1.0,36.0,359.0,140.0,0.1,1.0,3.0,2.0,0.0
2022-11-12,Matchweek 16,Away,W 2–0,Leicester City,West Ham,Y,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,37.0,1.0,0.0,1.0,0.4,0.4,0.1,3.0,1.0,12.0,24.0,50.0,0.0,1.0,0.0,4.0,17.0,17.0,1.0,37.0,25.0,5.0,1.0,30.0,127.0,37.0,0.0,1.0,0.0,0.0,0.0
2022-12-26,Matchweek 17,Home,L 0–3,Leicester City,Newcastle Utd,Y,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,60.0,0.0,1.0,0.0,2.0,9.0,19.0,8.0,30.0,50.0,9.0,0.0,20.0,106.0,42.0,0.0,0.0,0.0,0.0,0.0
2022-12-30,Matchweek 18,Away,L 1–2,Leicester City,Liverpool,Y,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,25.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,12.0,15.0,80.0,2.0,1.0,0.0,1.0,10.0,14.0,6.0,25.0,16.7,2.0,1.0,21.0,186.0,54.0,0.0,0.0,1.0,1.0,0.0
2023-01-03,Matchweek 19,Home,L 0–1,Leicester City,Fulham,Y,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,42.0,1.0,0.0,1.0,0.4,0.4,0.0,2.0,0.0,22.0,31.0,71.0,3.0,0.0,0.0,2.0,21.0,19.0,3.0,42.0,,2.0,3.0,36.0,345.0,76.0,0.0,0.0,1.0,2.0,0.0
2023-01-14,Matchweek 20,Away,L 0–2,Leicester City,Nott'ham Forest,Y,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,44.0,1.0,0.0,0.0,0.9,0.9,0.1,2.0,0.0,21.0,28.0,75.0,1.0,0.0,1.0,6.0,12.0,26.0,4.0,44.0,0.0,2.0,4.0,39.0,332.0,66.0,0.0,2.0,2.0,1.0,1.0
2023-01-21,Matchweek 21,Home,D 2–2,Leicester City,Brighton,Y,90.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,38.0,0.0,1.0,1.0,0.4,0.4,0.0,2.0,0.0,14.0,25.0,56.0,0.0,0.0,0.0,3.0,17.0,19.0,4.0,38.0,0.0,2.0,0.0,30.0,121.0,5.0,0.0,0.0,0.0,0.0,0.0
