Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-06,Matchweek 1,Home,W 2–0,Bournemouth,Aston Villa,Y,90,1,0,0,0,1,1,0,0,33,1,0,0,0.0,0.0,0.0,1,0,16,24,66.7,3,20,1,0,0,0,15,18,1,33,0.0,1,50.0,108,32,0,0,2,2,33,2,0.0,0,1,0
2022-08-13,Matchweek 2,Away,L 0–4,Bournemouth,Manchester City,Y,89,0,0,0,0,0,0,0,0,30,0,0,1,0.0,0.0,0.0,1,0,15,25,60.0,1,7,0,0,1,2,24,4,2,30,,0,,6,1,0,0,2,1,21,1,0.0,1,0,0
2022-08-20,Matchweek 3,Home,L 0–3,Bournemouth,Arsenal,Y,90,0,0,0,0,2,0,0,0,36,1,0,0,0.0,0.0,0.1,1,0,14,26,53.8,2,23,1,0,2,4,19,14,5,36,0.0,1,100.0,126,30,2,0,3,3,28,4,0.0,1,2,0
2022-08-27,Matchweek 4,Away,L 0–9,Bournemouth,Liverpool,Y,90,0,0,0,0,2,1,0,0,40,1,0,1,0.2,0.2,0.0,3,0,18,31,58.1,2,10,0,1,1,2,31,7,1,40,50.0,0,0.0,55,9,0,0,2,2,24,3,0.0,0,0,0
2022-08-31,Matchweek 5,Home,D 0–0,Bournemouth,Wolves,N,14,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,2,7,28.6,0,2,1,0,0,0,6,1,0,7,,0,,12,12,1,0,1,0,5,1,0.0,0,0,0
2022-09-03,Matchweek 6,Away,W 3–2,Bournemouth,Nott'ham Forest,N,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,1,2,1,0,4,,0,,7,4,0,0,0,0,3,0,0.0,0,0,0
2022-09-17,Matchweek 8,Away,D 1–1,Bournemouth,Newcastle Utd,N,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,1,1,0,0,2,,0,,1,0,0,0,1,0,1,0,0.0,0,0,0
2022-10-01,Matchweek 9,Home,D 0–0,Bournemouth,Brentford,Y,71,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.1,2,0,14,21,66.7,0,19,3,0,2,2,16,12,2,30,,0,,142,65,2,0,4,4,25,4,0.1,1,0,0
2022-10-08,Matchweek 10,Home,W 2–1,Bournemouth,Leicester City,N,1,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,0,0,2,1,2,,0,,0,0,0,0,1,1,1,0,0.0,0,0,0
2022-10-15,Matchweek 11,Away,D 2–2,Bournemouth,Fulham,N,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,0,2,1,0,3,,0,,1,0,0,0,0,0,3,0,0.0,0,0,0
2022-10-19,Matchweek 12,Home,L 0–1,Bournemouth,Southampton,N,8,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,1,0,2,2,3,,0,,2,0,0,0,1,0,1,0,0.0,0,0,0
2022-10-24,Matchweek 13,Away,L 0–2,Bournemouth,West Ham,N,46,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.1,1,0,9,11,81.8,1,9,1,0,1,2,5,9,2,16,,0,,42,15,0,1,1,0,14,3,0.1,1,0,0
2022-10-29,Matchweek 14,Home,L 2–3,Bournemouth,Tottenham,Y,90,2,0,0,0,3,2,0,0,51,3,0,2,0.4,0.4,0.0,1,1,17,30,56.7,3,27,1,0,8,13,26,12,6,51,0.0,2,100.0,64,27,0,0,4,3,32,3,0.0,0,0,0
2022-11-05,Matchweek 15,Away,L 3–4,Bournemouth,Leeds United,Y,90,0,0,0,0,1,1,0,0,29,0,0,1,0.5,0.5,0.0,0,0,15,21,71.4,0,18,0,0,4,5,16,8,1,29,,0,,45,9,1,0,2,1,26,4,0.0,0,0,0
2022-11-12,Matchweek 16,Home,W 3–0,Bournemouth,Everton,Y,67,1,0,0,0,1,1,0,0,29,0,0,0,0.8,0.8,0.0,3,0,13,25,52.0,3,21,0,0,1,1,16,12,3,29,,0,,40,7,1,0,2,4,28,2,0.0,0,1,0
2022-12-27,Matchweek 17,Away,L 0–2,Bournemouth,Chelsea,Y,84,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,11,19,57.9,0,13,0,0,0,1,15,4,1,20,0.0,0,0.0,33,5,0,0,0,2,18,0,0.0,0,0,0
2022-12-31,Matchweek 18,Home,L 0–2,Bournemouth,Crystal Palace,Y,90,0,0,0,0,2,0,0,0,28,0,0,2,0.3,0.3,0.0,0,0,7,16,43.8,1,14,0,0,4,5,6,17,6,28,0.0,0,0.0,41,5,1,0,1,4,24,8,0.1,0,1,0
2023-01-03,Matchweek 19,Away,L 0–3,Bournemouth,Manchester Utd,N,15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,1,6,0,0,2,2,5,2,0,9,,0,,14,6,0,0,0,0,7,0,0.0,0,0,0
2023-01-14,Matchweek 20,Away,L 0–2,Bournemouth,Brentford,Y,90,0,0,0,0,3,0,0,0,28,3,0,2,0.4,0.4,0.0,0,0,8,12,66.7,1,10,0,0,1,1,19,8,3,28,,0,,35,3,0,0,7,1,17,3,0.0,0,0,0
2023-01-21,Matchweek 21,Home,D 1–1,Bournemouth,Nott'ham Forest,Y,90,0,0,0,0,2,0,0,0,49,0,1,1,0.5,0.5,0.0,2,1,19,34,55.9,2,19,2,0,2,5,33,11,5,49,0.0,2,100.0,86,38,0,1,4,2,35,6,0.0,0,0,0
2023-02-04,Matchweek 22,Away,L 0–1,Bournemouth,Brighton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-11,Matchweek 23,Home,D 1–1,Bournemouth,Newcastle Utd,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
