Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-06,Matchweek 1,Away,D 2–2,Liverpool,Fulham,Y,90,0,0,0,0,0,0,0,0,106,3,2,1,0.0,0.0,0.0,0,0,79,93,84.9,8,72,3,1,12,51,53,3,0,106,33.3,2,66.7,550,419,1,0,0,1,76,0,0.0,0,1,0
2022-08-31,Matchweek 5,Home,W 2–1,Liverpool,Newcastle Utd,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-03,Matchweek 6,Away,D 0–0,Liverpool,Everton,N,11,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,14,15,93.3,1,12,1,0,0,4,11,0,0,15,,0,,90,74,0,0,0,0,12,0,0.0,0,0,0
2022-10-01,Matchweek 9,Home,D 3–3,Liverpool,Brighton,Y,90,0,0,0,0,0,0,0,0,61,1,1,1,0.0,0.0,0.0,0,0,35,49,71.4,3,28,1,0,11,33,26,3,1,61,,0,,147,101,1,0,1,0,28,0,0.0,0,1,0
2022-10-09,Matchweek 10,Away,L 2–3,Liverpool,Arsenal,Y,68,0,0,0,0,0,0,0,0,56,0,1,0,0.0,0.0,0.0,0,0,42,47,89.4,2,36,0,0,12,35,18,3,0,56,,0,,203,127,1,0,2,0,40,0,0.0,0,0,0
2022-12-26,Matchweek 17,Away,W 3–1,Liverpool,Aston Villa,Y,90,0,0,0,0,0,0,0,0,78,7,2,0,0.0,0.0,0.0,1,0,59,64,92.2,1,42,1,0,12,44,34,1,0,78,,0,,171,99,1,0,0,0,52,0,0.0,0,0,0
2022-12-30,Matchweek 18,Home,W 2–1,Liverpool,Leicester City,Y,90,0,0,0,0,0,0,0,0,73,0,2,1,0.0,0.0,0.0,2,0,57,66,86.4,6,35,2,0,10,36,33,4,0,73,,0,,274,211,2,0,0,0,45,0,0.0,0,0,0
2023-01-02,Matchweek 19,Away,L 1–3,Liverpool,Brentford,N,45,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,2,0,24,30,80.0,2,24,3,1,2,14,15,7,2,36,50.0,1,50.0,213,133,2,0,1,0,23,1,0.0,0,1,0
2023-01-14,Matchweek 20,Away,L 0–3,Liverpool,Brighton,Y,68,0,0,0,0,0,0,1,0,47,0,2,1,0.0,0.0,0.0,0,0,30,39,76.9,0,26,0,0,8,30,18,0,0,47,,0,,154,92,0,0,1,0,34,0,0.0,0,0,0
2023-01-21,Matchweek 21,Home,D 0–0,Liverpool,Chelsea,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-04,Matchweek 22,Away,L 0–3,Liverpool,Wolves,Y,90,0,0,0,0,0,0,0,0,82,0,0,0,0.0,0.0,0.1,4,0,67,78,85.9,7,59,7,1,4,36,39,9,1,82,100.0,0,0.0,434,328,7,1,1,0,69,0,0.1,2,2,0
