Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-07,Matchweek 1,Home,D 2–2,Leicester City,Brentford,Y,90,0,0,0,0,1,0,0,0,77,1,0,1,0.0,0.0,0.0,3,0,69,71,97.2,2,51,1,1,1,23,47,8,0,77,100.0,0,0.0,161,66,1,0,1,0,60,0,0.0,1,0,0
2022-08-13,Matchweek 2,Away,L 2–4,Leicester City,Arsenal,Y,62,0,0,0,0,0,0,0,0,60,1,0,1,0.0,0.0,0.0,0,0,51,58,87.9,1,43,0,0,1,25,32,3,0,60,,0,,156,44,1,0,0,1,46,0,0.0,0,0,0
2022-08-20,Matchweek 3,Home,L 1–2,Leicester City,Southampton,Y,90,0,0,0,0,0,0,0,0,112,2,0,0,0.0,0.0,0.0,1,1,85,100,85.0,16,79,5,0,11,34,71,7,1,112,,0,,492,398,2,0,1,1,80,0,0.0,0,0,0
2022-08-27,Matchweek 4,Away,L 1–2,Leicester City,Chelsea,Y,90,0,0,0,0,0,0,0,0,87,1,2,1,0.0,0.0,0.3,3,0,72,78,92.3,11,48,5,1,6,33,45,10,2,87,50.0,0,0.0,389,303,3,0,1,1,64,2,0.2,2,0,0
2022-09-04,Matchweek 6,Away,L 2–5,Leicester City,Brighton,N,19,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.0,0,0,14,17,82.4,0,12,0,0,1,10,8,0,0,18,,0,,77,47,0,0,0,0,12,0,0.0,0,0,0
2022-09-17,Matchweek 8,Away,L 2–6,Leicester City,Tottenham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-03,Matchweek 9,Home,W 4–0,Leicester City,Nott'ham Forest,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-08,Matchweek 10,Away,L 1–2,Leicester City,Bournemouth,N,24,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,15,15,100.0,1,7,0,0,4,6,9,3,0,18,,0,,12,0,0,0,0,1,12,1,0.0,0,0,0
2022-10-15,Matchweek 11,Home,D 0–0,Leicester City,Crystal Palace,Y,90,0,0,0,0,0,0,0,0,80,1,0,1,0.0,0.0,0.0,1,0,70,75,93.3,3,63,1,0,7,41,39,0,0,80,,0,,333,190,0,0,1,0,66,1,0.0,0,0,0
2022-10-20,Matchweek 12,Home,W 2–0,Leicester City,Leeds United,Y,90,0,0,0,0,0,0,0,0,65,4,1,1,0.0,0.0,0.0,0,0,49,53,92.5,1,35,0,0,13,47,18,0,0,65,0.0,1,100.0,75,30,0,0,0,0,47,0,0.0,0,0,0
2022-10-23,Matchweek 13,Away,W 4–0,Leicester City,Wolves,Y,90,0,0,0,0,0,0,0,0,34,0,1,2,0.0,0.0,0.0,0,0,18,25,72.0,2,9,0,0,9,20,12,2,1,34,,0,,18,5,0,0,0,0,16,0,0.0,0,0,0
2022-10-29,Matchweek 14,Home,L 0–1,Leicester City,Manchester City,Y,90,0,0,0,0,1,1,0,0,48,1,0,0,0.0,0.0,0.0,0,0,36,39,92.3,2,22,0,0,9,32,15,1,1,48,,0,,78,39,0,0,0,0,33,0,0.0,0,0,0
2022-11-05,Matchweek 15,Away,W 2–0,Leicester City,Everton,Y,90,0,0,0,0,0,0,0,0,66,0,0,3,0.0,0.0,0.2,2,0,56,57,98.2,4,38,0,0,14,36,30,0,0,66,,0,,177,86,0,0,0,0,47,1,0.1,1,1,0
2022-11-12,Matchweek 16,Away,W 2–0,Leicester City,West Ham,Y,90,0,0,0,0,1,1,0,0,70,2,2,1,0.0,0.0,0.0,0,0,52,58,89.7,0,46,1,0,13,54,14,2,0,70,,0,,263,167,1,0,0,0,50,0,0.0,0,0,0
2022-12-26,Matchweek 17,Home,L 0–3,Leicester City,Newcastle Utd,Y,90,0,0,0,0,0,0,0,0,91,2,1,1,0.0,0.0,0.0,3,0,74,81,91.4,7,60,1,0,13,41,49,1,0,91,,0,,288,178,1,0,1,0,69,0,0.0,0,0,0
2022-12-30,Matchweek 18,Away,L 1–2,Leicester City,Liverpool,Y,90,0,0,0,0,0,0,0,0,52,0,0,3,0.0,0.0,0.0,0,0,33,37,89.2,3,31,1,0,18,38,14,0,0,52,0.0,1,100.0,113,69,0,0,0,0,31,0,0.0,0,0,0
2023-01-03,Matchweek 19,Home,L 0–1,Leicester City,Fulham,Y,90,0,0,0,0,0,0,0,0,91,1,0,1,0.0,0.0,0.0,1,0,78,86,90.7,4,61,1,0,10,46,43,2,0,91,,0,,297,144,0,0,0,0,74,0,0.0,1,0,0
2023-01-14,Matchweek 20,Away,L 0–2,Leicester City,Nott'ham Forest,Y,90,0,0,0,0,0,0,1,0,70,0,0,3,0.0,0.0,0.0,0,0,60,63,95.2,5,31,2,0,12,43,26,1,0,70,,0,,200,142,1,0,2,0,47,0,0.0,0,0,0
2023-01-21,Matchweek 21,Home,D 2–2,Leicester City,Brighton,Y,90,0,0,0,0,0,0,0,0,52,1,0,0,0.0,0.0,0.0,0,0,42,42,100.0,0,28,0,0,17,35,17,0,0,52,,0,,81,37,0,0,0,0,38,0,0.0,0,0,0
2023-02-11,Matchweek 23,Home,W 4–1,Leicester City,Tottenham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
