Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-09-17,Matchweek 8,Away,L 2–6,Leicester City,Tottenham,Y,90,0,0,0,0,0,0,0,0,95,1,1,1,0.0,0.0,0.1,1,0,77,86,89.5,4,65,0,0,7,31,64,2,1,95,,0,,280,173,0,0,0,1,75,1,0.0,1,0,0
2022-10-03,Matchweek 9,Home,W 4–0,Leicester City,Nott'ham Forest,Y,90,0,0,0,0,1,0,0,0,76,0,1,0,0.1,0.1,0.0,1,0,56,70,80.0,4,44,0,1,13,38,36,2,1,76,100.0,0,0.0,232,155,0,0,1,0,53,0,0.0,0,0,0
2022-10-08,Matchweek 10,Away,L 1–2,Leicester City,Bournemouth,Y,90,0,0,0,0,1,0,0,0,118,7,2,3,0.2,0.2,0.2,1,0,87,96,90.6,3,60,0,0,14,69,46,3,2,118,,0,,325,144,0,0,3,0,84,0,0.0,1,0,0
2022-10-15,Matchweek 11,Home,D 0–0,Leicester City,Crystal Palace,Y,90,0,0,0,0,0,0,0,0,93,3,3,1,0.0,0.0,0.0,0,0,79,86,91.9,6,69,1,0,5,39,53,1,0,93,,0,,423,259,0,0,1,0,72,0,0.0,0,0,0
2022-10-20,Matchweek 12,Home,W 2–0,Leicester City,Leeds United,Y,90,0,0,0,0,0,0,0,0,85,7,0,2,0.0,0.0,0.0,0,0,59,70,84.3,1,45,0,1,9,56,29,0,0,85,100.0,0,0.0,214,91,0,0,2,1,58,0,0.0,0,0,0
2022-10-23,Matchweek 13,Away,W 4–0,Leicester City,Wolves,Y,90,0,0,0,0,0,0,1,0,53,2,0,2,0.0,0.0,0.0,0,0,35,41,85.4,1,18,0,0,20,40,13,0,0,53,,0,,82,37,0,0,0,0,32,0,0.0,0,1,0
2022-10-29,Matchweek 14,Home,L 0–1,Leicester City,Manchester City,Y,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,44,51,86.3,1,31,0,0,16,40,15,0,0,55,,0,,154,58,0,0,1,0,43,0,0.0,0,0,0
2022-11-05,Matchweek 15,Away,W 2–0,Leicester City,Everton,Y,90,0,0,0,0,1,1,0,0,85,2,0,1,0.1,0.1,0.0,1,0,64,76,84.2,6,49,1,0,10,40,43,2,2,85,,0,,284,188,0,0,0,0,61,0,0.0,0,1,0
2022-11-12,Matchweek 16,Away,W 2–0,Leicester City,West Ham,Y,90,0,0,0,0,0,0,0,0,72,3,2,2,0.0,0.0,0.0,0,0,43,57,75.4,1,34,0,0,14,45,27,0,0,72,0.0,1,100.0,199,96,0,0,0,0,44,0,0.0,0,0,0
2022-12-26,Matchweek 17,Home,L 0–3,Leicester City,Newcastle Utd,Y,90,0,0,0,0,1,0,0,0,106,0,2,0,0.0,0.0,0.1,1,0,83,97,85.6,4,71,1,0,10,46,57,3,0,106,0.0,1,100.0,191,92,0,0,0,0,79,0,0.1,1,1,0
2022-12-30,Matchweek 18,Away,L 1–2,Leicester City,Liverpool,Y,90,0,0,0,0,0,0,0,0,73,2,1,2,0.0,0.0,0.0,0,0,46,57,80.7,2,36,0,0,21,56,17,1,1,73,,0,,132,57,0,0,1,0,43,0,0.0,0,0,0
2023-01-03,Matchweek 19,Home,L 0–1,Leicester City,Fulham,Y,90,0,0,0,0,0,0,0,0,99,2,0,0,0.0,0.0,0.0,0,0,82,93,88.2,9,63,1,0,14,40,57,4,0,99,,0,,412,225,0,0,0,1,68,0,0.2,0,2,0
2023-01-14,Matchweek 20,Away,L 0–2,Leicester City,Nott'ham Forest,Y,90,0,0,0,0,0,0,0,0,98,1,2,0,0.0,0.0,0.0,0,0,79,88,89.8,3,53,0,0,17,69,29,0,0,98,,0,,344,230,1,0,0,0,71,0,0.0,0,0,0
2023-01-21,Matchweek 21,Home,D 2–2,Leicester City,Brighton,Y,90,0,0,0,0,0,0,0,0,60,1,0,4,0.0,0.0,0.0,0,0,46,52,88.5,1,40,0,1,9,33,27,0,0,60,100.0,0,0.0,152,62,0,0,0,0,44,0,0.0,0,0,0
2023-02-04,Matchweek 22,Away,W 4–2,Leicester City,Aston Villa,Y,90,0,0,0,0,0,0,0,0,42,3,2,3,0.0,0.0,0.0,1,1,23,29,79.3,1,18,0,0,10,31,11,0,0,42,,0,,63,30,0,0,0,0,22,0,0.0,0,0,0
2023-02-11,Matchweek 23,Home,W 4–1,Leicester City,Tottenham,Y,90,0,0,0,0,0,0,1,0,54,0,5,0,0.0,0.0,0.0,2,1,42,45,93.3,0,36,0,0,4,25,29,1,0,54,,0,,136,74,0,0,1,0,34,0,0.0,0,0,0
