Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-06,Matchweek 1,Home,D 2–2,Fulham,Liverpool,Y*,90,0,0,0,0,0,0,0,0,41,1,1,1,0.0,0.0,0.0,2,0,19,27,70.4,4,18,0,1,10,21,17,3,1,41,100.0,0,0.0,46,15,0,0,1,0,13,0,0.0,0,0,0
2022-08-13,Matchweek 2,Away,D 0–0,Fulham,Wolves,Y*,90,0,0,0,0,0,0,0,0,59,3,3,1,0.0,0.0,0.0,0,0,41,47,87.2,1,34,2,0,6,21,39,0,0,59,,0,,230,168,0,0,1,0,33,0,0.0,0,0,0
2022-08-20,Matchweek 3,Home,W 3–2,Fulham,Brentford,Y*,90,0,0,0,0,0,0,0,0,44,1,2,0,0.0,0.0,0.0,1,0,25,35,71.4,1,17,1,0,7,24,20,1,1,44,,0,,95,65,0,0,2,0,21,0,0.0,0,0,0
2022-08-27,Matchweek 4,Away,L 1–2,Fulham,Arsenal,Y*,87,0,0,0,0,0,0,0,0,44,2,5,2,0.0,0.0,0.0,0,0,21,30,70.0,0,19,0,1,10,29,15,1,0,44,50.0,0,0.0,152,108,0,0,0,0,19,0,0.0,0,0,0
2022-08-30,Matchweek 5,Home,W 2–1,Fulham,Brighton,Y*,90,0,0,0,0,0,0,0,0,69,1,1,1,0.0,0.0,0.0,2,0,57,60,95.0,2,37,1,0,10,43,26,0,0,69,,0,,200,122,0,0,2,0,46,0,0.0,0,0,0
2022-09-03,Matchweek 6,Away,L 1–2,Fulham,Tottenham,Y*,90,0,0,0,0,0,0,0,0,81,1,1,3,0.0,0.0,0.0,1,0,63,71,88.7,8,49,1,0,12,33,44,4,1,81,,0,,242,171,2,0,0,0,55,0,0.0,0,0,0
2022-09-16,Matchweek 8,Away,W 3–2,Fulham,Nott'ham Forest,Y*,90,0,0,0,0,0,0,0,0,61,1,2,1,0.0,0.0,0.0,0,0,45,54,83.3,4,41,0,0,1,16,39,6,0,61,,0,,110,50,1,0,0,0,40,0,0.0,0,0,0
2022-10-01,Matchweek 9,Home,L 1–4,Fulham,Newcastle Utd,Y*,90,0,0,0,0,0,0,0,0,34,0,1,1,0.0,0.0,0.0,0,0,18,30,60.0,0,14,0,1,5,16,14,4,0,34,100.0,0,0.0,56,40,1,0,0,0,18,1,0.0,0,0,0
2022-10-09,Matchweek 10,Away,L 1–3,Fulham,West Ham,Y*,90,0,0,0,0,0,0,0,0,82,1,1,4,0.0,0.0,0.0,1,0,61,70,87.1,5,56,1,0,11,42,39,1,0,82,,0,,314,231,1,0,1,1,60,0,0.0,0,0,0
2022-10-15,Matchweek 11,Home,D 2–2,Fulham,Bournemouth,Y*,90,0,0,0,0,0,0,1,0,91,2,0,1,0.0,0.0,0.0,2,0,78,85,91.8,10,68,5,0,6,33,53,6,0,91,,0,,357,242,1,0,0,0,65,0,0.0,0,0,0
2022-10-20,Matchweek 12,Home,W 3–0,Fulham,Aston Villa,Y*,90,0,0,0,0,0,0,0,0,87,1,1,2,0.0,0.0,0.0,0,0,74,82,90.2,3,59,0,0,10,55,30,2,0,87,,0,,359,249,0,0,0,0,66,0,0.0,0,0,0
2022-10-23,Matchweek 13,Away,W 3–2,Fulham,Leeds United,Y*,90,0,0,0,0,0,0,0,0,59,0,1,2,0.0,0.0,0.0,1,0,43,51,84.3,0,43,0,0,12,47,13,0,0,59,,0,,211,114,0,0,0,1,43,0,0.0,0,0,0
2022-10-29,Matchweek 14,Home,D 0–0,Fulham,Everton,Y*,90,0,0,0,0,1,0,0,0,86,1,0,0,0.0,0.0,0.0,2,0,69,82,84.1,4,38,0,0,6,48,33,5,2,86,,0,,266,206,0,0,0,0,58,0,0.0,0,0,0
2022-11-05,Matchweek 15,Away,L 1–2,Fulham,Manchester City,Y*,90,0,0,0,0,0,0,0,0,56,0,0,4,0.0,0.0,0.0,1,0,43,49,87.8,0,41,0,0,15,33,23,0,0,56,,0,,218,139,0,0,1,0,43,0,0.0,0,0,0
2022-11-13,Matchweek 16,Home,L 1–2,Fulham,Manchester Utd,Y,90,0,0,0,0,1,1,0,0,74,1,2,0,0.1,0.1,0.0,1,0,58,67,86.6,3,52,1,1,9,41,29,5,2,74,50.0,0,0.0,343,248,1,0,0,0,57,0,0.0,0,0,0
2022-12-26,Matchweek 17,Away,W 3–0,Fulham,Crystal Palace,Y*,90,1,0,0,0,1,1,0,0,84,3,1,2,0.1,0.1,0.0,0,0,68,74,91.9,4,57,1,1,5,41,40,3,3,84,100.0,0,0.0,333,205,0,0,0,1,61,0,0.0,0,0,0
2022-12-31,Matchweek 18,Home,W 2–1,Fulham,Southampton,Y*,90,0,0,0,0,0,0,0,0,92,0,1,0,0.0,0.0,0.0,1,0,80,87,92.0,5,66,1,0,8,40,52,1,0,92,,0,,424,298,0,0,0,0,70,0,0.0,0,0,0
2023-01-03,Matchweek 19,Away,W 1–0,Fulham,Leicester City,Y*,90,0,0,0,0,0,0,0,0,49,0,1,2,0.0,0.0,0.0,1,0,30,36,83.3,0,24,0,1,16,37,12,0,0,49,100.0,0,0.0,122,53,0,0,1,0,25,0,0.0,0,0,0
2023-01-12,Matchweek 7,Home,W 2–1,Fulham,Chelsea,Y*,90,0,0,0,0,0,0,0,0,65,0,3,2,0.0,0.0,0.0,1,0,47,54,87.0,3,33,1,0,12,35,28,2,1,65,,0,,166,105,0,0,1,0,43,0,0.0,0,0,0
2023-01-15,Matchweek 20,Away,L 0–1,Fulham,Newcastle Utd,Y*,90,0,0,0,0,0,0,1,0,44,0,2,1,0.0,0.0,0.0,0,0,32,38,84.2,2,29,0,0,12,27,16,1,1,44,0.0,1,100.0,110,78,0,0,0,0,26,0,0.0,0,0,0
2023-01-23,Matchweek 21,Home,L 0–1,Fulham,Tottenham,Y*,90,0,0,0,0,0,0,0,0,86,1,0,0,0.0,0.0,0.0,0,0,70,80,87.5,12,50,3,0,9,29,55,2,0,86,,0,,317,229,1,0,2,0,56,0,0.0,0,0,0
2023-02-03,Matchweek 22,Away,D 0–0,Fulham,Chelsea,Y*,90,0,0,0,0,0,0,0,0,49,1,3,2,0.0,0.0,0.0,0,0,31,38,81.6,4,25,0,0,12,37,11,2,0,49,,0,,171,141,0,0,0,0,20,0,0.0,0,0,0
2023-02-11,Matchweek 23,Home,W 2–0,Fulham,Nott'ham Forest,Y*,90,0,0,0,0,0,0,0,0,73,2,3,0,0.0,0.0,0.0,2,0,58,63,92.1,6,53,0,1,6,41,34,0,0,73,100.0,0,0.0,422,301,0,0,0,0,41,0,0.0,1,0,0
2023-02-18,Matchweek 24,Away,W 1–0,Fulham,Brighton,Y*,90,0,0,0,0,0,0,0,0,49,3,1,1,0.0,0.0,0.0,1,0,32,41,78.0,2,28,0,0,11,31,18,0,0,49,,0,,95,36,0,0,0,1,31,0,0.0,0,0,0
