Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-07,Matchweek 1,Away,D 2–2,Brentford,Leicester City,Y*,90,0,0,0,0,0,0,0,0,69,1,0,0,0.0,0.0,0.0,0,0,56,60,93.3,1,43,0,0,7,40,29,0,0,69,,0,,194,94,0,0,0,0,52,0,0.1,0,0,0
2022-08-13,Matchweek 2,Home,W 4–0,Brentford,Manchester Utd,Y*,90,0,0,0,0,0,0,0,0,22,1,1,1,0.0,0.0,0.0,0,0,8,15,53.3,2,5,0,1,4,10,11,1,1,22,100.0,0,0.0,21,1,0,0,1,0,5,0,0.0,0,0,0
2022-08-20,Matchweek 3,Away,L 2–3,Brentford,Fulham,Y*,90,0,0,0,0,0,0,0,0,63,0,1,3,0.0,0.0,0.0,0,0,46,57,80.7,2,34,0,0,11,44,19,0,0,63,,0,,115,45,0,0,0,0,43,0,0.0,0,0,0
2022-09-03,Matchweek 6,Home,W 5–2,Brentford,Leeds United,Y*,90,0,0,0,0,0,0,0,0,28,0,2,2,0.0,0.0,0.0,0,0,11,19,57.9,2,5,0,1,10,18,10,0,0,28,100.0,0,0.0,27,10,0,0,0,0,5,0,0.0,0,0,0
2022-09-18,Matchweek 8,Home,L 0–3,Brentford,Arsenal,Y*,90,0,0,0,0,0,0,0,0,44,1,1,1,0.0,0.0,0.0,0,0,35,41,85.4,2,24,0,0,5,25,18,1,1,44,,0,,78,20,0,0,0,1,23,0,0.0,0,0,0
2022-10-01,Matchweek 9,Away,D 0–0,Brentford,Bournemouth,Y*,64,0,0,0,0,1,0,0,0,58,0,3,1,0.0,0.0,0.0,1,0,39,47,83.0,4,37,0,0,10,37,19,2,2,58,,0,,144,54,0,0,0,0,37,0,0.0,0,0,0
2022-12-26,Matchweek 17,Home,D 2–2,Brentford,Tottenham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30,Matchweek 18,Away,W 2–0,Brentford,West Ham,N,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,1,0,0,0,2,0,0,2,,0,,24,17,0,0,0,0,2,0,0.0,0,0,0
