Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec
2022-08-06,Matchweek 1,Away,L 1–2,Wolves,Leeds United,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,98.0,0.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,75.0,83.0,90.4,2.0,4.0,19.0,69.0,28.0,2.0,2.0,98.0,100.0,0.0,0.0,72.0
2022-08-13,Matchweek 2,Home,D 0–0,Wolves,Fulham,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,77.0,90.0,85.6,4.0,0.0,12.0,51.0,42.0,1.0,0.0,94.0,,0.0,0.0,67.0
2022-08-20,Matchweek 3,Away,L 0–1,Wolves,Tottenham,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,46.0,54.0,85.2,3.0,0.0,15.0,38.0,27.0,2.0,1.0,66.0,,0.0,0.0,42.0
2022-08-28,Matchweek 4,Home,D 1–1,Wolves,Newcastle Utd,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,27.0,77.8,1.0,0.0,13.0,28.0,11.0,0.0,0.0,38.0,,0.0,1.0,18.0
2022-08-31,Matchweek 5,Away,D 0–0,Wolves,Bournemouth,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,91.0,89.0,10.0,0.0,7.0,43.0,51.0,5.0,0.0,98.0,,0.0,0.0,72.0
2022-09-03,Matchweek 6,Home,W 1–0,Wolves,Southampton,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,34.0,49.0,69.4,3.0,0.0,13.0,38.0,21.0,2.0,1.0,61.0,,0.0,0.0,36.0
2022-09-17,Matchweek 8,Home,L 0–3,Wolves,Manchester City,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,46.0,51.0,90.2,1.0,0.0,12.0,44.0,15.0,0.0,0.0,58.0,0.0,1.0,0.0,46.0
2022-10-01,Matchweek 9,Away,L 0–2,Wolves,West Ham,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,59.0,70.0,84.3,7.0,0.0,10.0,42.0,38.0,3.0,1.0,82.0,,0.0,0.0,60.0
2022-10-08,Matchweek 10,Away,L 0–3,Wolves,Chelsea,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,56.0,64.0,87.5,3.0,1.0,4.0,41.0,25.0,1.0,1.0,67.0,100.0,0.0,0.0,53.0
2022-10-15,Matchweek 11,Home,W 1–0,Wolves,Nott'ham Forest,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,2.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,50.0,57.0,87.7,4.0,0.0,8.0,33.0,33.0,3.0,1.0,69.0,,1.0,0.0,45.0
2022-10-18,Matchweek 12,Away,L 1–2,Wolves,Crystal Palace,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,65.0,78.5,2.0,0.0,10.0,49.0,22.0,1.0,0.0,72.0,,0.0,1.0,50.0
2022-10-23,Matchweek 13,Home,L 0–4,Wolves,Leicester City,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,98.0,1.0,2.0,0.0,0.2,0.2,0.0,0.0,0.0,73.0,88.0,83.0,3.0,0.0,2.0,47.0,48.0,4.0,2.0,98.0,0.0,1.0,2.0,72.0
2022-10-29,Matchweek 14,Away,D 1–1,Wolves,Brentford,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,24.0,36.0,66.7,4.0,0.0,13.0,33.0,20.0,1.0,0.0,53.0,,3.0,0.0,27.0
2022-11-05,Matchweek 15,Home,L 2–3,Wolves,Brighton,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,34.0,70.6,5.0,0.0,7.0,27.0,16.0,2.0,0.0,45.0,0.0,0.0,1.0,24.0
2022-11-12,Matchweek 16,Home,L 0–2,Wolves,Arsenal,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,30.0,76.7,0.0,1.0,10.0,24.0,16.0,0.0,0.0,39.0,100.0,1.0,0.0,25.0
2022-12-26,Matchweek 17,Away,W 2–1,Wolves,Everton,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,36.0,47.0,76.6,1.0,0.0,12.0,32.0,23.0,0.0,0.0,55.0,,2.0,0.0,36.0
2022-12-31,Matchweek 18,Home,L 0–1,Wolves,Manchester Utd,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,48.0,75.0,1.0,0.0,20.0,44.0,15.0,0.0,0.0,59.0,,0.0,0.0,41.0
2023-01-04,Matchweek 19,Away,D 1–1,Wolves,Aston Villa,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,74.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,55.0,83.6,1.0,0.0,17.0,54.0,18.0,2.0,2.0,74.0,,0.0,0.0,51.0
2023-01-14,Matchweek 20,Home,W 1–0,Wolves,West Ham,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,51.0,60.0,85.0,0.0,0.0,17.0,47.0,27.0,1.0,1.0,75.0,,0.0,0.0,52.0
