Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-05,Matchweek 1,Home,L 0–2,Crystal Palace,Arsenal,N,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,4,0,0,0,0,2,3,2,5,,0,,6,3,0,0,0,1,4,1,0.0,0,0,0
2022-08-15,Matchweek 2,Away,D 1–1,Crystal Palace,Liverpool,N,12,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,2,0,0,0,0,4,1,0,5,,0,,7,1,0,0,1,0,2,0,0.0,0,0,0
2022-08-20,Matchweek 3,Home,W 3–1,Crystal Palace,Aston Villa,N,9,0,0,0,0,2,2,0,0,11,1,0,0,0.1,0.1,0.0,1,0,8,8,100.0,0,9,1,0,0,1,2,8,2,11,,0,,30,16,0,1,0,0,9,2,0.0,0,0,0
2022-08-27,Matchweek 4,Away,L 2–4,Crystal Palace,Manchester City,N,24,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,7,8,87.5,1,3,0,0,1,3,6,1,0,10,,0,,16,1,0,0,0,0,6,0,0.0,0,0,0
2022-09-03,Matchweek 6,Away,D 0–0,Crystal Palace,Newcastle Utd,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01,Matchweek 9,Home,L 1–2,Crystal Palace,Chelsea,N,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,1,2,0,0,0,0,5,0,0,5,,0,,5,0,0,0,0,0,2,0,0.0,0,0,0
2022-10-09,Matchweek 10,Home,W 2–1,Crystal Palace,Leeds United,N,6,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,1,0,1,0,2,,0,,6,2,0,0,0,0,1,1,0.0,0,0,0
2022-10-22,Matchweek 13,Away,L 0–3,Crystal Palace,Everton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-29,Matchweek 14,Home,W 1–0,Crystal Palace,Southampton,N,16,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,5,1,0,1,4,1,4,0,9,,0,,49,37,0,0,0,0,5,0,0.0,0,0,0
2022-11-06,Matchweek 15,Away,W 2–1,Crystal Palace,West Ham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
