Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-06,Matchweek 1,Home,W 2–0,Bournemouth,Aston Villa,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13,Matchweek 2,Away,L 0–4,Bournemouth,Manchester City,Y,90,0,0,0,0,0,0,1,0,32,0,1,0,0.0,0.0,0.0,0,0,16,26,61.5,0,15,2,0,5,19,9,4,0,32,,0,,69,43,1,0,0,0,18,2,0.0,0,1,1
2022-08-20,Matchweek 3,Home,L 0–3,Bournemouth,Arsenal,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-27,Matchweek 4,Away,L 0–9,Bournemouth,Liverpool,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31,Matchweek 5,Home,D 0–0,Bournemouth,Wolves,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-03,Matchweek 6,Away,W 3–2,Bournemouth,Nott'ham Forest,N,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,1,0,0,1,,0,,0,0,0,0,0,0,1,0,0.0,0,0,0
2022-09-17,Matchweek 8,Away,D 1–1,Bournemouth,Newcastle Utd,N,4,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,1,1,2,2,1,0,5,100.0,0,0.0,3,1,0,0,1,0,1,0,0.0,0,0,0
2022-10-01,Matchweek 9,Home,D 0–0,Bournemouth,Brentford,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-08,Matchweek 10,Home,W 2–1,Bournemouth,Leicester City,N,19,0,0,0,0,0,0,0,0,18,1,1,1,0.0,0.0,0.0,0,0,10,13,76.9,1,8,2,0,1,7,4,8,0,18,0.0,2,100.0,100,45,1,0,0,0,6,0,0.0,0,0,0
2022-10-15,Matchweek 11,Away,D 2–2,Bournemouth,Fulham,N,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,1,1,1,0,0,2,,0,,4,0,0,0,0,0,1,1,0.0,0,0,0
2022-10-19,Matchweek 12,Home,L 0–1,Bournemouth,Southampton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-24,Matchweek 13,Away,L 0–2,Bournemouth,West Ham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-05,Matchweek 15,Away,L 3–4,Bournemouth,Leeds United,N,18,0,0,0,0,1,0,0,0,17,2,0,1,0.1,0.1,0.0,0,0,6,11,54.5,1,8,1,0,1,5,6,6,1,17,0.0,1,100.0,41,29,0,1,0,1,9,3,0.0,0,0,0
2022-11-12,Matchweek 16,Home,W 3–0,Bournemouth,Everton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27,Matchweek 17,Away,L 0–2,Bournemouth,Chelsea,Y,45,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,2,8,25.0,0,5,0,0,2,3,2,4,0,9,,0,,24,7,1,0,1,1,5,1,0.0,0,0,0
2022-12-31,Matchweek 18,Home,L 0–2,Bournemouth,Crystal Palace,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,Matchweek 19,Away,L 0–3,Bournemouth,Manchester Utd,N,28,0,0,0,0,0,0,1,0,20,0,0,1,0.0,0.0,0.0,0,0,10,18,55.6,0,11,3,1,2,9,8,4,1,20,100.0,0,0.0,94,62,1,0,0,0,12,3,0.0,0,0,0
2023-01-14,Matchweek 20,Away,L 0–2,Bournemouth,Brentford,Y,90,0,0,0,0,0,0,0,0,63,1,3,0,0.0,0.0,0.0,1,0,27,46,58.7,0,23,1,0,4,20,23,20,0,63,0.0,1,100.0,123,34,0,0,1,2,23,5,0.0,0,0,0
2023-01-21,Matchweek 21,Home,D 1–1,Bournemouth,Nott'ham Forest,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-04,Matchweek 22,Away,L 0–1,Bournemouth,Brighton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
