Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-09-03,Matchweek 6,Home,W 5–2,Brentford,Leeds United,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-18,Matchweek 8,Home,L 0–3,Brentford,Arsenal,Y,90,0,0,0,0,0,0,0,0,40,0,1,0,0.0,0.0,0.0,0,0,25,35,71.4,1,23,0,0,2,20,17,3,0,40,,0,,88,50,0,0,1,0,26,0,0.0,0,0,0
2022-10-01,Matchweek 9,Away,D 0–0,Brentford,Bournemouth,Y,60,0,0,0,0,1,0,0,0,54,1,0,0,0.0,0.0,0.0,0,0,48,53,90.6,8,44,5,0,1,18,20,17,2,54,0.0,0,0.0,277,167,0,0,0,1,42,4,0.0,0,0,0
2022-10-08,Matchweek 10,Away,L 1–5,Brentford,Newcastle Utd,Y,90,0,0,0,0,0,0,0,0,47,1,2,0,0.0,0.0,0.0,0,0,29,38,76.3,1,26,0,0,7,26,18,3,2,47,0.0,0,0.0,119,71,1,0,0,1,28,2,0.0,0,0,0
2022-10-14,Matchweek 11,Home,W 2–0,Brentford,Brighton,Y,90,0,0,0,0,0,0,0,0,37,2,0,2,0.0,0.0,0.0,1,0,18,24,75.0,3,16,3,0,9,20,11,7,0,37,0.0,3,100.0,181,98,2,0,0,0,18,1,0.0,0,0,0
2022-10-19,Matchweek 12,Home,D 0–0,Brentford,Chelsea,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-23,Matchweek 13,Away,L 0–4,Brentford,Aston Villa,Y,90,0,0,0,0,0,0,0,0,63,2,2,2,0.0,0.0,0.0,1,0,32,53,60.4,3,27,0,1,6,25,32,7,2,63,50.0,1,50.0,149,70,0,0,1,1,27,1,0.0,0,0,0
2022-10-29,Matchweek 14,Home,D 1–1,Brentford,Wolves,Y,82,0,0,0,0,0,0,0,0,49,3,0,1,0.0,0.0,0.0,1,0,33,42,78.6,3,29,1,0,2,21,20,8,0,49,,0,,120,75,1,0,1,1,32,0,0.0,0,0,0
2023-01-14,Matchweek 20,Home,W 2–0,Brentford,Bournemouth,Y,81,0,0,0,0,0,0,0,0,49,1,1,0,0.0,0.0,0.0,1,0,34,41,82.9,6,26,1,0,3,18,18,13,1,49,,0,,102,47,1,0,0,4,26,2,0.0,1,1,1
2023-01-22,Matchweek 21,Away,D 0–0,Brentford,Leeds United,Y,90,0,0,0,0,0,0,0,0,40,0,1,0,0.0,0.0,0.0,0,0,19,31,61.3,2,12,0,0,9,21,18,1,0,40,,0,,61,26,0,0,0,0,16,0,0.0,0,0,0
2023-02-04,Matchweek 22,Home,W 3–0,Brentford,Southampton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-11,Matchweek 23,Away,D 1–1,Brentford,Arsenal,Y,90,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,0,0,21,28,75.0,4,11,0,0,6,15,13,5,2,33,,0,,39,9,0,0,0,0,16,2,0.0,0,2,0
