Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA
2022-08-07,Matchweek 1,Away,W 2–0,Manchester City,West Ham,Y,88.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,106.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,95.0,101.0,94.1,3.0,2.0,1.0,24.0,72.0,11.0,0.0,106.0,100.0,0.0,0.0,89.0,1534.0,453.0,0.0,0.0,10.0,0.0,0.0
2022-08-13,Matchweek 2,Home,W 4–0,Manchester City,Bournemouth,Y,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,101.0,0.0,0.0,2.0,0.1,0.1,0.0,2.0,1.0,92.0,98.0,93.9,6.0,0.0,1.0,6.0,49.0,46.0,2.0,101.0,,0.0,1.0,87.0,1672.0,308.0,0.2,0.0,18.0,1.0,0.0
2022-08-21,Matchweek 3,Away,D 3–3,Manchester City,Newcastle Utd,Y,90.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,139.0,1.0,0.0,1.0,0.1,0.1,0.1,5.0,2.0,108.0,120.0,90.0,5.0,0.0,5.0,33.0,82.0,25.0,4.0,139.0,,3.0,0.0,105.0,1917.0,402.0,0.5,1.0,7.0,1.0,0.0
2022-08-27,Matchweek 4,Home,W 4–2,Manchester City,Crystal Palace,Y,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,88.0,97.0,90.7,8.0,1.0,1.0,11.0,61.0,31.0,3.0,103.0,50.0,0.0,0.0,73.0,1665.0,387.0,0.1,1.0,11.0,0.0,0.0
2022-08-31,Matchweek 5,Home,W 6–0,Manchester City,Nott'ham Forest,Y,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0,0.0,1.0,0.0,0.1,0.1,0.2,2.0,0.0,78.0,80.0,97.5,2.0,0.0,1.0,8.0,59.0,15.0,1.0,82.0,,0.0,0.0,73.0,1478.0,327.0,0.0,2.0,5.0,0.0,0.0
2022-09-03,Matchweek 6,Away,D 1–1,Manchester City,Aston Villa,Y,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,97.0,0.0,1.0,2.0,0.1,0.1,0.0,3.0,0.0,81.0,92.0,88.0,9.0,1.0,3.0,21.0,60.0,16.0,2.0,97.0,100.0,0.0,3.0,73.0,1508.0,347.0,0.1,0.0,5.0,2.0,0.0
2022-09-17,Matchweek 8,Away,W 3–0,Manchester City,Wolves,Y,80.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,69.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,57.0,60.0,95.0,5.0,0.0,3.0,20.0,44.0,6.0,0.0,69.0,,0.0,0.0,50.0,1006.0,321.0,0.1,0.0,5.0,1.0,0.0
2022-10-08,Matchweek 10,Home,W 4–0,Manchester City,Southampton,Y,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,3.0,1.0,1.0,0.0,0.0,0.2,6.0,1.0,95.0,104.0,91.3,9.0,1.0,3.0,21.0,81.0,8.0,0.0,109.0,100.0,0.0,0.0,86.0,1875.0,535.0,0.1,2.0,11.0,1.0,0.0
2022-10-16,Matchweek 11,Away,L 0–1,Manchester City,Liverpool,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,110.0,7.0,1.0,2.0,0.0,0.0,0.1,3.0,0.0,83.0,93.0,89.2,5.0,0.0,7.0,27.0,76.0,8.0,0.0,110.0,,2.0,0.0,85.0,1723.0,563.0,0.0,2.0,12.0,1.0,0.0
2022-10-22,Matchweek 13,Home,W 3–1,Manchester City,Brighton,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,3.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,55.0,69.0,79.7,2.0,1.0,6.0,32.0,33.0,10.0,1.0,74.0,100.0,1.0,0.0,51.0,943.0,229.0,0.0,0.0,6.0,0.0,0.0
