Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-31,Matchweek 5,Home,D 0–0,Bournemouth,Wolves,N,22,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,1,3,33.3,0,2,1,0,3,3,1,2,0,6,,0,,21,10,1,0,0,1,4,1,0.0,0,0,0
2022-09-03,Matchweek 6,Away,W 3–2,Bournemouth,Nott'ham Forest,N,45,0,0,0,0,0,0,0,0,30,0,0,2,0.0,0.0,0.0,1,0,15,23,65.2,3,16,2,0,2,10,11,9,0,30,0.0,0,0.0,118,87,1,0,0,1,18,4,0.0,0,1,0
2022-10-08,Matchweek 10,Home,W 2–1,Bournemouth,Leicester City,Y,71,0,0,0,0,0,0,1,0,51,0,0,0,0.0,0.0,0.0,0,0,32,47,68.1,4,22,2,0,1,12,17,22,1,51,0.0,1,100.0,89,67,4,0,2,0,33,6,0.0,0,1,0
2022-10-15,Matchweek 11,Away,D 2–2,Bournemouth,Fulham,Y,90,0,0,0,0,0,0,0,0,32,0,0,2,0.0,0.0,0.0,0,0,16,22,72.7,0,11,1,0,11,19,10,4,0,32,0.0,1,100.0,66,39,0,0,0,0,13,1,0.0,0,0,0
2022-10-19,Matchweek 12,Home,L 0–1,Bournemouth,Southampton,Y,82,0,0,0,0,0,0,0,0,66,0,0,1,0.0,0.0,0.1,2,0,48,62,77.4,5,30,1,0,1,12,30,24,1,66,0.0,1,100.0,194,45,1,0,1,0,45,7,0.3,1,4,1
2022-10-24,Matchweek 13,Away,L 0–2,Bournemouth,West Ham,Y,56,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.0,0,0,15,20,75.0,0,9,3,1,1,8,12,7,3,27,100.0,0,0.0,87,64,1,1,0,0,13,2,0.0,0,0,0
2022-10-29,Matchweek 14,Home,L 2–3,Bournemouth,Tottenham,N,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,3,0,0,1,2,1,2,0,5,,0,,3,1,0,0,0,0,3,1,0.0,0,0,0
2022-11-05,Matchweek 15,Away,L 3–4,Bournemouth,Leeds United,Y,72,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,1,1,10,22,45.5,2,12,1,0,3,9,18,4,0,30,0.0,1,100.0,66,43,1,0,1,1,12,1,0.0,0,0,0
2022-11-12,Matchweek 16,Home,W 3–0,Bournemouth,Everton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-11,Matchweek 23,Home,D 1–1,Bournemouth,Newcastle Utd,N,12,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,3,1,0,3,5,1,2,1,8,,0,,17,15,0,1,0,0,2,1,0.0,0,0,0
