Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA
2022-08-06,Matchweek 1,Away,L 1–4,Southampton,Tottenham,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,50.0,52.0,96.2,6.0,1.0,2.0,14.0,38.0,11.0,0.0,61.0,100.0,0.0,1.0,42.0,851.0,304.0,0.0,0.0,10.0,1.0,0.0
2022-08-13,Matchweek 2,Home,D 2–2,Southampton,Leeds United,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,4.0,1.0,0.0,0.0,0.1,2.0,0.0,22.0,27.0,81.5,3.0,1.0,0.0,10.0,26.0,1.0,0.0,37.0,50.0,1.0,2.0,17.0,477.0,141.0,0.0,1.0,5.0,0.0,0.0
2022-08-20,Matchweek 3,Away,W 2–1,Southampton,Leicester City,Y,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,47.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,29.0,32.0,90.6,2.0,2.0,1.0,11.0,29.0,7.0,0.0,47.0,66.7,1.0,0.0,26.0,483.0,132.0,0.0,0.0,5.0,0.0,0.0
2022-08-27,Matchweek 4,Home,L 0–1,Southampton,Manchester Utd,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,36.0,39.0,92.3,2.0,1.0,3.0,9.0,28.0,11.0,0.0,48.0,50.0,0.0,1.0,27.0,613.0,149.0,0.0,1.0,1.0,1.0,0.0
2022-08-30,Matchweek 5,Home,W 2–1,Southampton,Chelsea,Y,59.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,1.0,1.0,4.0,0.1,0.1,0.0,0.0,0.0,16.0,23.0,69.6,3.0,0.0,0.0,10.0,21.0,4.0,0.0,34.0,0.0,0.0,0.0,10.0,283.0,78.0,0.0,0.0,1.0,0.0,0.0
2022-11-06,Matchweek 15,Home,L 1–4,Southampton,Newcastle Utd,N,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,37.0,89.2,2.0,1.0,0.0,3.0,30.0,11.0,0.0,43.0,100.0,0.0,1.0,31.0,537.0,82.0,0.0,0.0,4.0,1.0,0.0
2022-11-12,Matchweek 16,Away,L 1–3,Southampton,Liverpool,Y,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,41.0,47.0,87.2,1.0,1.0,2.0,19.0,36.0,5.0,0.0,59.0,50.0,1.0,4.0,35.0,790.0,176.0,0.1,1.0,4.0,1.0,0.0
2022-12-31,Matchweek 18,Away,L 1–2,Southampton,Fulham,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,Matchweek 19,Home,L 0–1,Southampton,Nott'ham Forest,Y,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,20.0,80.0,2.0,0.0,4.0,8.0,17.0,5.0,0.0,30.0,,2.0,2.0,13.0,294.0,59.0,0.0,0.0,2.0,0.0,0.0
2023-01-14,Matchweek 20,Away,W 2–1,Southampton,Everton,Y,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,93.3,0.0,0.0,0.0,5.0,14.0,1.0,0.0,20.0,,1.0,1.0,14.0,274.0,80.0,0.0,0.0,1.0,0.0,0.0
2023-01-21,Matchweek 21,Home,L 0–1,Southampton,Aston Villa,Y,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,22.0,63.6,2.0,0.0,1.0,3.0,18.0,9.0,0.0,30.0,,0.0,2.0,16.0,303.0,88.0,0.0,1.0,2.0,0.0,0.0
