Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec
2022-08-07,Matchweek 1,Home,L 0–2,West Ham,Manchester City,Y,90,0,0,0,0,0,0,0,0,40,1,1,1,0.0,0.0,0.0,0,0,28,33,84.8,0,0,19,33,6,1,1,40,,0,0,25
2022-08-14,Matchweek 2,Away,L 0–1,West Ham,Nott'ham Forest,Y,90,0,0,0,0,1,0,0,0,37,1,2,0,0.2,0.2,0.0,0,0,17,26,65.4,2,0,5,24,12,1,1,37,,1,0,12
2022-08-21,Matchweek 3,Home,L 0–2,West Ham,Brighton,Y,90,0,0,0,0,2,0,0,0,75,0,2,1,0.2,0.2,0.0,1,0,57,69,82.6,2,0,7,48,23,5,3,75,,0,0,61
2022-08-28,Matchweek 4,Away,W 1–0,West Ham,Aston Villa,Y,90,0,0,0,0,0,0,0,0,58,0,0,1,0.0,0.0,0.0,1,1,39,46,84.8,0,0,15,44,14,0,0,58,,0,0,29
2022-08-31,Matchweek 5,Home,D 1–1,West Ham,Tottenham,Y,90,0,0,0,0,1,0,0,0,39,1,0,0,0.1,0.1,0.0,0,0,26,30,86.7,1,0,9,18,20,1,1,39,,0,0,21
2022-09-03,Matchweek 6,Away,L 1–2,West Ham,Chelsea,Y,90,0,0,0,0,0,0,0,0,52,0,1,0,0.0,0.0,0.0,0,0,30,37,81.1,0,0,15,34,18,0,0,52,0.0,0,0,28
2022-09-18,Matchweek 8,Away,L 0–1,West Ham,Everton,Y,90,0,0,0,0,2,1,0,0,43,0,2,1,0.1,0.1,0.0,0,0,30,35,85.7,2,0,9,23,16,4,3,43,,1,0,26
2022-10-01,Matchweek 9,Home,W 2–0,West Ham,Wolves,Y,90,0,0,0,0,0,0,0,0,40,0,0,1,0.0,0.0,0.0,0,0,27,31,87.1,0,0,17,27,13,0,0,40,,0,0,20
2022-10-09,Matchweek 10,Home,W 3–1,West Ham,Fulham,Y,90,0,0,0,0,0,0,0,0,56,0,2,0,0.0,0.0,0.0,0,0,41,48,85.4,0,0,11,42,14,0,0,56,,1,0,37
2022-10-19,Matchweek 12,Away,L 0–1,West Ham,Liverpool,Y,90,0,0,0,0,0,0,0,0,53,1,1,1,0.0,0.0,0.0,0,0,43,47,91.5,1,0,14,38,15,0,0,53,,0,0,41
2022-10-24,Matchweek 13,Home,W 2–0,West Ham,Bournemouth,Y,90,1,0,0,0,2,1,0,0,75,0,2,0,0.3,0.3,0.0,0,0,59,66,89.4,1,0,5,34,38,3,2,75,,0,0,60
2022-10-30,Matchweek 14,Away,L 0–1,West Ham,Manchester Utd,Y,90,0,0,0,0,2,1,0,0,55,0,0,0,0.1,0.1,0.0,1,0,43,46,93.5,4,0,12,30,23,2,2,55,,1,0,32
2022-11-06,Matchweek 15,Home,L 1–2,West Ham,Crystal Palace,Y,90,0,0,0,0,0,0,0,0,59,0,0,0,0.0,0.0,0.0,0,0,51,55,92.7,0,0,14,42,18,0,0,59,,0,0,45
2022-11-12,Matchweek 16,Home,L 0–2,West Ham,Leicester City,Y,14,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,0,2,5,3,0,0,8,,0,0,4
2023-01-14,Matchweek 20,Away,L 0–1,West Ham,Wolves,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
2023-01-21,Matchweek 21,Home,W 2–0,West Ham,Everton,Y,90,0,0,0,0,1,0,0,0,45,0,0,1,0.1,0.1,0.0,1,1,27,34,79.4,0,0,10,23,21,1,1,45,,0,0,21
