Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA
2022-08-06,Matchweek 1,Away,W 1–0,Chelsea,Everton,Y,90,0,0,0,0,3,0,0,0,39,1,0,1,0.2,0.2,0.1,5,0,19,27,70.4,4,3,0,1,9,29,4,39,60.0,3,7,38,217,73,0.2,2,2,2,0
2022-08-14,Matchweek 2,Home,D 2–2,Chelsea,Tottenham,Y,83,0,1,0,0,2,0,0,0,39,1,0,0,0.2,0.2,0.5,3,1,22,27,81.5,2,0,0,1,11,28,9,39,0.0,4,3,36,263,42,0.2,2,0,1,0
2022-08-21,Matchweek 3,Away,L 0–3,Chelsea,Leeds United,Y,86,0,0,0,0,1,0,1,0,32,0,0,0,0.1,0.1,0.1,4,0,17,22,77.3,2,1,1,4,10,19,3,32,25.0,0,0,23,194,40,0.1,1,1,2,0
2022-08-27,Matchweek 4,Home,W 2–1,Chelsea,Leicester City,Y,74,2,0,0,0,3,3,0,0,31,0,0,0,1.2,1.2,0.4,3,0,15,19,78.9,1,2,0,0,12,19,3,31,33.3,2,5,28,171,42,0.2,1,0,1,1
2022-08-30,Matchweek 5,Away,L 1–2,Chelsea,Southampton,Y,90,1,0,0,0,2,2,0,0,40,0,0,0,0.5,0.5,0.3,4,0,22,30,73.3,0,1,0,3,10,27,8,40,33.3,5,4,34,329,78,0.3,2,0,2,2
2022-09-03,Matchweek 6,Home,W 2–1,Chelsea,West Ham,Y,90,0,0,0,0,0,0,0,0,41,0,0,1,0.0,0.0,0.0,0,0,27,34,79.4,0,3,0,0,13,29,4,41,60.0,3,2,39,261,27,0.1,0,1,0,0
2022-10-01,Matchweek 9,Away,W 2–1,Chelsea,Crystal Palace,Y,90,0,0,0,0,3,1,0,0,48,2,0,4,0.5,0.5,0.1,4,0,24,37,64.9,3,0,0,3,11,34,8,48,,3,2,38,306,57,0.0,3,3,1,0
2022-10-08,Matchweek 10,Home,W 3–0,Chelsea,Wolves,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-16,Matchweek 11,Away,W 2–0,Chelsea,Aston Villa,Y,88,0,0,0,0,3,1,0,0,27,1,1,1,0.3,0.3,0.0,1,0,14,17,82.4,1,0,0,2,9,16,6,27,0.0,0,3,20,163,45,0.0,1,0,1,0
2022-10-19,Matchweek 12,Away,D 0–0,Chelsea,Brentford,N,29,0,0,0,0,1,0,0,0,30,1,0,0,0.1,0.1,0.1,4,0,20,27,74.1,1,0,0,5,8,18,2,30,,0,0,21,254,38,0.0,2,1,1,0
2022-10-22,Matchweek 13,Home,D 1–1,Chelsea,Manchester Utd,Y,78,0,0,0,0,0,0,0,0,34,1,0,1,0.0,0.0,0.1,2,0,18,25,72.0,4,0,0,1,10,24,4,34,0.0,1,0,28,234,61,0.1,1,1,4,1
2022-10-29,Matchweek 14,Away,L 1–4,Chelsea,Brighton,Y,62,0,0,0,0,0,0,1,0,36,0,0,2,0.0,0.0,0.2,2,0,15,28,53.6,1,0,0,2,7,27,5,36,0.0,2,0,27,236,74,0.2,2,0,2,1
2022-11-06,Matchweek 15,Home,L 0–1,Chelsea,Arsenal,Y,90,0,0,0,0,0,0,1,0,34,1,0,1,0.0,0.0,0.0,2,0,19,25,76.0,5,1,0,7,14,14,2,34,16.7,1,3,25,297,107,0.0,1,2,3,0
2022-12-27,Matchweek 17,Home,W 2–0,Chelsea,Bournemouth,Y,87,0,1,0,0,1,1,0,0,45,0,0,0,0.1,0.1,0.8,4,1,33,40,82.5,3,2,0,3,16,27,4,45,66.7,1,2,43,413,130,0.6,3,2,0,0
2023-01-01,Matchweek 18,Away,D 1–1,Chelsea,Nott'ham Forest,Y,72,1,0,0,0,1,1,0,0,36,1,0,0,0.3,0.3,0.1,1,0,21,27,77.8,1,1,1,3,14,19,1,36,33.3,4,2,32,301,43,0.0,1,2,1,1
2023-01-05,Matchweek 19,Home,L 0–1,Chelsea,Manchester City,Y,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,1,0,0,1,,0,1,2,6,0,0.0,0,0,0,0
