Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-06,Matchweek 1,Home,W 2–0,Newcastle Utd,Nott'ham Forest,Y,90,1,0,0,0,2,1,0,0,68,2,3,3,0.1,0.1,0.1,2,0,38,52,73.1,3,25,1,0,6,37,27,6,1,68,,0,,108,74,0,0,2,0,31,2,0.1,1,1,1
2022-08-13,Matchweek 2,Away,D 0–0,Newcastle Utd,Brighton,Y,90,0,0,0,0,0,0,1,0,48,0,2,1,0.0,0.0,0.0,0,0,22,34,64.7,3,20,0,0,15,30,16,2,0,48,,0,,76,28,0,0,0,0,21,0,0.0,0,0,0
2022-08-21,Matchweek 3,Home,D 3–3,Newcastle Utd,Manchester City,Y,90,0,0,0,0,0,0,1,0,51,2,5,2,0.0,0.0,0.0,1,0,15,34,44.1,1,14,0,0,13,32,17,2,0,51,,0,,95,38,0,0,0,0,21,0,0.0,0,0,0
2022-08-28,Matchweek 4,Away,D 1–1,Newcastle Utd,Wolves,Y,90,0,0,0,0,2,0,1,0,70,2,1,0,0.2,0.2,0.1,3,0,51,64,79.7,8,38,0,0,3,30,34,7,1,70,,0,,193,143,0,0,0,0,51,1,0.1,3,3,0
2022-08-31,Matchweek 5,Away,L 1–2,Newcastle Utd,Liverpool,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-03,Matchweek 6,Home,D 0–0,Newcastle Utd,Crystal Palace,Y,90,0,0,0,0,3,0,0,0,70,2,3,4,0.3,0.3,0.0,2,0,38,51,74.5,4,37,1,0,18,37,26,7,6,70,0.0,1,100.0,176,134,0,0,0,1,31,0,0.0,0,0,0
2022-09-17,Matchweek 8,Home,D 1–1,Newcastle Utd,Bournemouth,Y,90,0,0,0,0,4,1,0,0,98,1,0,0,0.1,0.1,0.1,4,1,74,88,84.1,12,61,2,0,8,32,49,17,3,98,0.0,1,100.0,353,264,4,0,0,0,74,3,0.0,1,1,0
2022-10-01,Matchweek 9,Away,W 4–1,Newcastle Utd,Fulham,Y,82,0,0,0,0,0,0,0,0,80,0,0,2,0.0,0.0,0.0,1,0,65,73,89.0,8,59,1,0,4,44,31,5,2,80,,0,,255,147,1,0,0,0,58,1,0.0,1,0,0
2022-10-08,Matchweek 10,Home,W 5–1,Newcastle Utd,Brentford,Y,90,0,0,0,0,0,0,0,0,35,1,1,1,0.0,0.0,0.0,0,0,18,26,69.2,1,14,0,0,5,21,10,4,1,35,,0,,69,25,0,0,0,0,17,1,0.0,0,0,0
2022-10-16,Matchweek 11,Away,D 0–0,Newcastle Utd,Manchester Utd,Y,89,0,0,0,0,0,0,0,0,50,0,3,5,0.0,0.0,0.0,1,0,31,34,91.2,2,19,0,0,14,32,15,3,2,50,,0,,121,84,0,0,1,0,22,1,0.1,0,0,0
