Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-06,Matchweek 1,Home,D 2–2,Fulham,Liverpool,Y,90,0,0,0,0,0,0,0,0,37,2,1,0,0.0,0.0,0.0,0,0,17,26,65.4,5,12,0,0,10,19,17,1,0,37,,0,,55,30,0,0,0,0,12,1,0.0,0,0,0
2022-08-13,Matchweek 2,Away,D 0–0,Fulham,Wolves,Y,90,0,0,0,0,0,0,0,0,41,0,1,0,0.0,0.0,0.0,0,0,31,35,88.6,2,26,2,0,4,19,22,0,0,41,,0,,178,103,1,0,0,1,24,0,0.0,0,0,0
2022-08-20,Matchweek 3,Home,W 3–2,Fulham,Brentford,Y,90,0,0,0,0,0,0,0,0,56,0,2,1,0.0,0.0,0.0,0,0,32,47,68.1,2,13,0,0,12,32,25,0,0,56,,0,,41,13,0,0,0,0,23,0,0.0,0,0,0
2022-08-27,Matchweek 4,Away,L 1–2,Fulham,Arsenal,Y,90,0,0,0,0,0,0,0,0,41,3,2,3,0.0,0.0,0.0,0,0,15,28,53.6,0,18,0,0,12,33,9,0,0,41,,0,,119,103,0,0,0,1,16,0,0.0,0,0,0
2022-08-30,Matchweek 5,Home,W 2–1,Fulham,Brighton,Y,90,0,0,0,0,0,0,0,0,56,1,2,0,0.0,0.0,0.0,1,0,40,49,81.6,2,29,0,0,10,38,17,1,0,56,,0,,169,106,0,0,0,1,39,0,0.0,1,1,0
2022-09-03,Matchweek 6,Away,L 1–2,Fulham,Tottenham,Y,90,0,0,0,0,0,0,0,0,84,2,1,1,0.0,0.0,0.0,1,0,65,74,87.8,10,53,0,0,9,32,49,3,0,84,,0,,305,176,1,0,0,0,60,0,0.0,0,0,0
2022-09-16,Matchweek 8,Away,W 3–2,Fulham,Nott'ham Forest,Y,90,1,0,0,0,2,1,0,0,92,0,0,0,0.1,0.1,0.0,2,0,72,82,87.8,3,51,0,0,6,32,55,5,2,92,,0,,198,91,1,0,0,0,70,0,0.0,0,0,0
2022-10-01,Matchweek 9,Home,L 1–4,Fulham,Newcastle Utd,Y,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,21,28,75.0,1,15,0,1,9,20,12,0,0,32,100.0,0,0.0,61,23,0,0,0,0,24,0,0.0,0,0,0
2022-10-09,Matchweek 10,Away,L 1–3,Fulham,West Ham,Y,90,0,0,0,0,0,0,0,0,74,1,1,1,0.0,0.0,0.0,0,0,57,62,91.9,4,43,2,0,14,34,38,2,0,74,,0,,300,230,2,0,1,0,50,0,0.0,0,0,0
2022-10-15,Matchweek 11,Home,D 2–2,Fulham,Bournemouth,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-20,Matchweek 12,Home,W 3–0,Fulham,Aston Villa,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-23,Matchweek 13,Away,W 3–2,Fulham,Leeds United,Y,90,0,0,0,0,1,0,0,0,67,2,1,1,0.1,0.1,0.0,0,0,39,57,68.4,2,31,0,0,11,46,19,2,1,67,0.0,1,100.0,131,62,0,0,0,0,40,0,0.0,0,1,0
2022-10-29,Matchweek 14,Home,D 0–0,Fulham,Everton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
