Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec
2022-08-06,Matchweek 1,Home,D 2–2,Fulham,Liverpool,Y,89.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,19.0,26.0,73.1,1.0,1.0,1.0,6.0,13.0,20.0,1.0,37.0,100.0,2.0,2.0,27.0
2022-08-13,Matchweek 2,Away,D 0–0,Fulham,Wolves,Y,89.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,41.0,1.0,1.0,2.0,0.4,0.4,0.0,2.0,0.0,23.0,32.0,71.9,1.0,0.0,2.0,8.0,19.0,15.0,3.0,41.0,0.0,1.0,1.0,25.0
2022-08-20,Matchweek 3,Home,W 3–2,Fulham,Brentford,Y,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,1.0,0.0,0.0,0.6,0.6,0.1,2.0,0.0,11.0,22.0,50.0,2.0,0.0,0.0,2.0,16.0,14.0,6.0,32.0,,5.0,3.0,23.0
2022-08-27,Matchweek 4,Away,L 1–2,Fulham,Arsenal,Y,90.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,28.0,1.0,1.0,3.0,0.4,0.4,0.0,3.0,0.0,8.0,14.0,57.1,1.0,0.0,2.0,10.0,9.0,9.0,4.0,28.0,,1.0,1.0,16.0
2022-08-30,Matchweek 5,Home,W 2–1,Fulham,Brighton,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,3.0,1.0,4.0,0.1,0.1,0.0,1.0,0.0,10.0,19.0,52.6,0.0,0.0,2.0,6.0,11.0,16.0,3.0,31.0,0.0,1.0,2.0,10.0
2022-09-03,Matchweek 6,Away,L 1–2,Fulham,Tottenham,Y,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,85.7,0.0,1.0,1.0,3.0,10.0,8.0,0.0,21.0,50.0,1.0,3.0,16.0
2022-09-16,Matchweek 8,Away,W 3–2,Fulham,Nott'ham Forest,Y,89.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,1.0,1.0,1.0,0.2,0.2,0.1,1.0,1.0,14.0,18.0,77.8,0.0,0.0,2.0,6.0,10.0,13.0,2.0,28.0,,3.0,0.0,18.0
2022-10-01,Matchweek 9,Home,L 1–4,Fulham,Newcastle Utd,Y,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,0.0,0.0,3.0,0.3,0.3,0.0,0.0,0.0,15.0,20.0,75.0,1.0,0.0,3.0,10.0,9.0,9.0,3.0,28.0,0.0,0.0,1.0,16.0
2022-10-09,Matchweek 10,Away,L 1–3,Fulham,West Ham,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,60.0,78.3,3.0,0.0,4.0,21.0,33.0,14.0,0.0,68.0,,1.0,0.0,44.0
2022-10-15,Matchweek 11,Home,D 2–2,Fulham,Bournemouth,Y,90.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,96.0,3.0,2.0,0.0,0.1,0.1,0.1,2.0,0.0,67.0,87.0,77.0,4.0,1.0,3.0,19.0,47.0,32.0,3.0,96.0,50.0,2.0,0.0,60.0
2022-10-20,Matchweek 12,Home,W 3–0,Fulham,Aston Villa,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,50.0,66.0,75.8,6.0,0.0,2.0,21.0,31.0,17.0,0.0,68.0,,0.0,1.0,42.0
2022-10-23,Matchweek 13,Away,W 3–2,Fulham,Leeds United,Y,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,53.0,54.7,0.0,2.0,6.0,23.0,29.0,14.0,1.0,66.0,66.7,2.0,0.0,25.0
2022-10-29,Matchweek 14,Home,D 0–0,Fulham,Everton,Y,75.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,44.0,2.0,1.0,2.0,0.3,0.3,0.0,2.0,0.0,25.0,34.0,73.5,1.0,0.0,4.0,11.0,13.0,22.0,3.0,44.0,0.0,0.0,1.0,21.0
2022-11-13,Matchweek 16,Home,L 1–2,Fulham,Manchester Utd,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,37.0,51.0,72.5,1.0,0.0,3.0,11.0,26.0,21.0,3.0,58.0,0.0,0.0,0.0,28.0
2022-12-26,Matchweek 17,Away,W 3–0,Fulham,Crystal Palace,Y,80.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,48.0,2.0,2.0,1.0,0.5,0.5,0.3,5.0,0.0,27.0,35.0,77.1,7.0,0.0,0.0,1.0,14.0,33.0,8.0,48.0,,4.0,1.0,35.0
2022-12-31,Matchweek 18,Home,W 2–1,Fulham,Southampton,Y,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.2,1.0,0.0,14.0,24.0,58.3,0.0,0.0,1.0,3.0,10.0,16.0,1.0,29.0,,2.0,2.0,25.0
2023-01-03,Matchweek 19,Away,W 1–0,Fulham,Leicester City,Y,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,12.0,19.0,63.2,1.0,1.0,3.0,4.0,13.0,10.0,1.0,27.0,33.3,3.0,1.0,19.0
2023-01-12,Matchweek 7,Home,W 2–1,Fulham,Chelsea,Y,67.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,1.0,0.1,0.1,0.0,2.0,1.0,10.0,20.0,50.0,1.0,0.0,0.0,1.0,11.0,19.0,3.0,31.0,0.0,2.0,2.0,20.0
2023-01-15,Matchweek 20,Away,L 0–1,Fulham,Newcastle Utd,Y,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,18.0,55.6,3.0,2.0,3.0,8.0,12.0,12.0,2.0,31.0,50.0,5.0,0.0,17.0
