Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-05,Matchweek 1,Away,W 2–0,Arsenal,Crystal Palace,Y,90,0,0,0,0,0,0,0,0,67,1,1,2,0.0,0.0,0.0,0,0,52,58,89.7,1,48,1,0,14,39,27,2,1,67,,0,,268,196,0,0,0,0,52,1,0.0,0,0,0
2022-08-13,Matchweek 2,Home,W 4–2,Arsenal,Leicester City,Y,90,0,0,0,0,1,0,0,0,67,3,0,1,0.0,0.0,0.0,1,0,49,55,89.1,5,36,0,0,3,24,38,5,2,67,0.0,0,0.0,266,152,2,0,2,0,44,0,0.0,0,0,0
2022-08-20,Matchweek 3,Away,W 3–0,Arsenal,Bournemouth,Y,90,0,0,0,0,1,0,0,0,95,1,0,1,0.1,0.1,0.0,0,0,74,80,92.5,2,66,0,0,15,46,44,5,1,95,,0,,376,173,2,0,0,0,68,0,0.0,0,0,0
2022-08-27,Matchweek 4,Home,W 2–1,Arsenal,Fulham,Y,90,1,0,0,0,1,1,0,0,93,3,1,2,0.7,0.7,0.2,1,0,77,83,92.8,6,59,0,0,8,29,56,8,2,93,,0,,315,231,2,0,0,1,67,1,0.0,1,1,0
2022-08-31,Matchweek 5,Home,W 2–1,Arsenal,Aston Villa,Y,90,0,0,0,0,4,1,0,0,56,1,1,0,0.3,0.3,0.0,1,0,43,45,95.6,3,33,1,0,3,23,26,7,3,56,,0,,162,91,1,0,0,1,33,1,0.0,0,0,0
2022-09-04,Matchweek 6,Away,L 1–3,Arsenal,Manchester Utd,Y,90,0,0,0,0,1,0,0,0,51,1,0,2,0.0,0.0,0.0,2,0,40,47,85.1,4,36,1,0,4,24,22,5,1,51,,0,,174,137,0,0,0,0,45,0,0.0,0,1,0
2022-09-18,Matchweek 8,Away,W 3–0,Arsenal,Brentford,Y,90,0,0,0,0,1,0,0,0,74,1,0,0,0.0,0.0,0.0,0,0,55,64,85.9,5,46,0,0,7,28,45,1,0,74,,0,,161,50,1,0,1,0,45,0,0.0,0,0,0
2022-10-01,Matchweek 9,Home,W 3–1,Arsenal,Tottenham,Y,90,0,0,0,0,0,0,0,0,71,1,1,1,0.0,0.0,0.0,0,0,56,61,91.8,5,49,1,0,4,19,44,8,1,71,,0,,202,115,1,0,1,0,49,0,0.0,0,0,0
2022-10-09,Matchweek 10,Home,W 3–2,Arsenal,Liverpool,Y,90,0,0,0,0,0,0,0,0,65,1,0,3,0.0,0.0,0.0,1,0,47,55,85.5,4,38,0,0,7,34,31,0,0,65,,0,,198,96,0,0,0,0,41,0,0.0,0,0,0
2022-10-16,Matchweek 11,Away,W 1–0,Arsenal,Leeds United,Y,90,0,0,0,0,1,1,1,0,77,3,3,4,0.1,0.1,0.0,0,0,54,60,90.0,1,42,1,0,13,49,27,1,1,77,,0,,238,145,0,0,1,0,48,0,0.0,0,0,0
2022-10-23,Matchweek 13,Away,D 1–1,Arsenal,Southampton,Y,90,0,0,0,0,1,0,0,0,92,1,0,1,0.1,0.1,0.0,0,0,70,78,89.7,5,57,0,0,13,38,53,1,1,92,,0,,311,249,0,0,0,0,60,0,0.0,0,0,0
2022-10-30,Matchweek 14,Home,W 5–0,Arsenal,Nott'ham Forest,Y,90,0,0,0,0,0,0,0,0,76,1,1,2,0.0,0.0,0.0,0,0,62,69,89.9,5,47,3,0,5,23,49,4,1,76,,0,,344,271,2,0,0,0,55,0,0.0,0,0,0
2022-11-06,Matchweek 15,Away,W 1–0,Arsenal,Chelsea,Y,90,1,0,0,0,1,1,0,0,68,0,1,0,0.8,0.8,0.0,0,0,50,59,84.7,2,35,0,0,11,34,30,6,4,68,,0,,194,116,0,0,1,0,40,0,0.0,0,0,0
2022-11-12,Matchweek 16,Away,W 2–0,Arsenal,Wolves,Y,90,0,0,0,0,1,0,1,0,75,1,3,1,0.1,0.1,0.0,0,0,59,65,90.8,2,50,0,0,11,23,49,3,2,75,,0,,267,166,0,0,0,0,57,0,0.0,0,0,0
2022-12-26,Matchweek 17,Home,W 3–1,Arsenal,West Ham,Y,90,0,0,0,0,0,0,0,0,111,3,0,2,0.0,0.0,0.0,0,0,95,103,92.2,11,80,1,0,7,27,77,9,0,111,,0,,373,250,0,0,0,0,83,0,0.1,0,0,0
2022-12-31,Matchweek 18,Away,W 4–2,Arsenal,Brighton,Y,90,0,0,0,0,2,1,1,0,34,0,1,1,0.4,0.4,0.0,1,0,22,28,78.6,1,17,0,0,5,13,18,3,2,34,,0,,54,12,0,0,1,0,18,0,0.0,0,0,0
2023-01-03,Matchweek 19,Home,D 0–0,Arsenal,Newcastle Utd,Y,90,0,0,0,0,2,0,0,0,80,2,1,0,0.1,0.1,0.0,1,0,65,69,94.2,6,48,0,0,6,26,49,7,2,80,,0,,201,149,2,0,1,1,61,1,0.0,0,0,0
2023-01-15,Matchweek 20,Away,W 2–0,Arsenal,Tottenham,Y,90,0,0,0,0,0,0,1,0,50,0,2,1,0.0,0.0,0.0,1,0,28,39,71.8,3,23,0,0,13,26,22,2,1,50,,0,,75,32,0,0,2,0,26,0,0.0,0,0,0
2023-01-22,Matchweek 21,Home,W 3–2,Arsenal,Manchester Utd,Y,90,0,0,0,0,1,0,0,0,68,2,1,2,0.1,0.1,0.0,1,0,48,57,84.2,3,32,1,0,10,28,29,11,7,68,,0,,153,83,1,1,0,0,46,1,0.0,0,0,0
2023-02-04,Matchweek 22,Away,L 0–1,Arsenal,Everton,Y,90,0,0,0,0,0,0,0,0,91,1,0,1,0.0,0.0,0.0,2,0,77,80,96.3,6,48,0,0,6,40,47,4,0,91,,0,,211,109,2,0,0,0,62,1,0.0,0,0,0
2023-02-11,Matchweek 23,Home,D 1–1,Arsenal,Brentford,Y,90,0,0,0,0,1,1,0,0,61,3,1,2,0.0,0.0,0.0,2,0,39,47,83.0,6,34,1,0,15,29,16,17,1,61,,0,,195,140,5,0,1,0,40,2,0.0,0,0,0
