Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec
2022-08-07,Matchweek 1,Home,L 1–2,Manchester Utd,Brighton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
2022-08-13,Matchweek 2,Away,L 0–4,Manchester Utd,Brentford,N,45,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.0,0,0,22,25,88.0,2,0,2,9,19,1,0,29,,0,0,18
2022-08-22,Matchweek 3,Home,W 2–1,Manchester Utd,Liverpool,Y,90,0,0,0,0,0,0,1,0,39,4,2,1,0.0,0.0,0.1,1,0,16,23,69.6,1,0,11,22,16,1,1,39,,0,0,14
2022-08-27,Matchweek 4,Away,W 1–0,Manchester Utd,Southampton,Y,90,0,0,0,0,1,0,0,0,70,0,0,1,0.0,0.0,0.0,0,0,49,61,80.3,1,0,10,42,26,2,1,70,,0,0,49
2022-09-01,Matchweek 5,Away,W 1–0,Manchester Utd,Leicester City,Y,90,0,0,0,0,0,0,0,0,62,2,1,1,0.0,0.0,0.0,1,0,47,54,87.0,1,0,8,41,21,0,0,62,,0,0,36
2022-09-04,Matchweek 6,Home,W 3–1,Manchester Utd,Arsenal,Y,90,0,0,0,0,0,0,0,0,30,5,0,1,0.0,0.0,0.0,0,0,14,20,70.0,0,0,10,18,11,1,0,30,,0,0,16
2022-10-02,Matchweek 9,Away,L 3–6,Manchester Utd,Manchester City,Y,39,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,0,0,17,17,100.0,0,0,1,13,6,0,0,19,,0,0,14
2022-10-09,Matchweek 10,Away,W 2–1,Manchester Utd,Everton,N,1,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,3,3,0,0,0,3,,0,0,0
2022-10-16,Matchweek 11,Home,D 0–0,Manchester Utd,Newcastle Utd,Y,90,0,0,0,0,0,0,0,0,61,0,0,2,0.0,0.0,0.0,0,0,43,53,81.1,2,0,9,36,24,2,1,61,,0,0,43
2022-10-19,Matchweek 12,Home,W 2–0,Manchester Utd,Tottenham,Y,90,0,0,0,0,0,0,0,0,55,0,0,1,0.0,0.0,0.1,2,0,43,47,91.5,1,0,6,29,26,1,0,55,,1,0,31
2022-10-22,Matchweek 13,Away,D 1–1,Manchester Utd,Chelsea,Y,59,0,0,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,1,0,18,22,81.8,2,0,4,14,13,1,0,28,,1,0,17
2022-12-27,Matchweek 17,Home,W 3–0,Manchester Utd,Nott'ham Forest,Y,76,0,0,0,0,0,0,0,0,81,1,2,0,0.0,0.0,0.0,0,0,71,75,94.7,5,0,3,19,60,2,0,81,,0,0,63
2022-12-31,Matchweek 18,Away,W 1–0,Manchester Utd,Wolves,Y,90,0,0,0,0,0,0,0,0,58,0,0,3,0.0,0.0,0.0,0,0,36,43,83.7,3,1,13,29,23,6,1,58,50.0,0,0,30
2023-01-03,Matchweek 19,Home,W 3–0,Manchester Utd,Bournemouth,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
2023-01-14,Matchweek 20,Home,W 2–1,Manchester Utd,Manchester City,Y,90,0,0,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.0,0,0,25,28,89.3,0,0,8,34,2,0,0,36,,0,0,21
2023-01-18,Matchweek 7,Away,D 1–1,Manchester Utd,Crystal Palace,Y,90,0,0,0,0,0,0,0,0,92,4,1,1,0.0,0.0,0.0,1,0,71,83,85.5,5,0,5,33,59,0,0,92,,0,1,62
2023-01-22,Matchweek 21,Away,L 2–3,Manchester Utd,Arsenal,Y,89,0,0,0,0,0,0,0,0,56,0,2,3,0.0,0.0,0.0,0,0,38,43,88.4,0,0,12,25,29,2,0,56,,0,0,35
