Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-07,Matchweek 1,Away,D 2–2,Brentford,Leicester City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13,Matchweek 2,Home,W 4–0,Brentford,Manchester Utd,N,11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,2,0,0,0,2,3,2,0,7,0.0,0,0.0,7,3,1,0,0,0,4,0,0.0,0,0,0
2022-08-20,Matchweek 3,Away,L 2–3,Brentford,Fulham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-27,Matchweek 4,Home,D 1–1,Brentford,Everton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-30,Matchweek 5,Away,D 1–1,Brentford,Crystal Palace,N,23,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.1,3,1,16,17,94.1,2,15,0,0,1,5,11,3,1,19,,0,,54,28,1,0,0,0,13,0,0.2,1,0,0
2022-09-03,Matchweek 6,Home,W 5–2,Brentford,Leeds United,N,32,0,0,0,0,0,0,0,0,10,2,0,1,0.0,0.0,0.0,2,1,1,5,20.0,0,4,0,0,1,5,4,1,0,10,,0,,8,5,0,0,0,1,4,0,0.0,0,0,0
2022-09-18,Matchweek 8,Home,L 0–3,Brentford,Arsenal,N,28,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,11,11,100.0,2,10,0,0,0,5,8,0,0,13,0.0,1,50.0,26,10,1,0,0,1,7,0,0.0,0,0,0
2022-10-01,Matchweek 9,Away,D 0–0,Brentford,Bournemouth,N,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,1,1,1,0,0,2,,0,,2,0,0,0,0,0,1,0,0.0,0,0,0
2022-10-08,Matchweek 10,Away,L 1–5,Brentford,Newcastle Utd,N,28,0,0,0,0,0,0,0,0,12,1,0,1,0.0,0.0,0.0,0,0,7,8,87.5,0,7,0,0,1,3,3,6,1,12,0.0,1,100.0,21,2,0,0,0,0,7,1,0.0,0,0,0
2022-10-14,Matchweek 11,Home,W 2–0,Brentford,Brighton,Y,70,0,1,0,0,1,0,0,0,26,2,2,2,0.1,0.1,0.2,1,1,11,14,78.6,1,9,0,0,1,8,11,8,3,26,0.0,1,100.0,16,6,0,0,2,0,11,4,0.5,1,1,0
2022-10-19,Matchweek 12,Home,D 0–0,Brentford,Chelsea,Y,59,0,0,0,0,0,0,0,0,25,2,0,0,0.0,0.0,0.0,1,0,14,19,73.7,4,19,1,1,1,4,6,15,1,25,100.0,0,0.0,49,19,2,0,1,3,19,1,0.0,0,1,0
2022-10-23,Matchweek 13,Away,L 0–4,Brentford,Aston Villa,Y,45,0,0,0,0,1,0,0,0,17,2,0,1,0.1,0.1,0.1,2,0,6,11,54.5,1,6,0,0,0,3,9,5,4,17,,0,,18,5,0,0,0,0,8,0,0.0,2,0,0
2022-10-29,Matchweek 14,Home,D 1–1,Brentford,Wolves,N,8,0,0,0,0,0,0,0,0,7,0,2,1,0.0,0.0,0.0,0,0,4,4,100.0,1,3,1,0,1,6,1,0,0,7,,0,,35,19,0,0,0,0,1,0,0.0,0,0,0
2022-11-05,Matchweek 15,Away,D 2–2,Brentford,Nott'ham Forest,N,45,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,0,0,13,20,65.0,3,10,0,0,3,9,12,2,0,23,,0,,32,18,0,0,0,0,10,0,0.0,0,1,0
2022-11-12,Matchweek 16,Away,W 2–1,Brentford,Manchester City,Y,86,0,0,0,0,1,1,0,0,27,1,0,2,0.2,0.2,0.1,2,1,10,15,66.7,1,14,1,0,2,8,12,7,3,27,0.0,2,66.7,73,43,0,1,2,1,14,4,0.0,1,0,0
