Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec
2022-08-06,Matchweek 1,Home,L 0–1,Everton,Chelsea,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.0,2.0,2.0,1.0,0.1,0.1,0.1,1.0,0.0,29.0,39.0,74.4,3.0,0.0,5.0,16.0,20.0,13.0,0.0,49.0,,1.0,0.0,23.0
2022-08-13,Matchweek 2,Away,L 1–2,Everton,Aston Villa,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,2.0,2.0,0.0,0.0,0.1,4.0,0.0,35.0,53.0,66.0,4.0,0.0,2.0,17.0,24.0,18.0,2.0,59.0,0.0,1.0,0.0,39.0
2022-08-20,Matchweek 3,Home,D 1–1,Everton,Nott'ham Forest,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,37.0,53.0,69.8,2.0,1.0,0.0,16.0,29.0,16.0,0.0,60.0,25.0,1.0,0.0,30.0
2022-08-27,Matchweek 4,Away,D 1–1,Everton,Brentford,Y,85.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,1.0,1.0,0.0,0.1,0.1,0.0,2.0,0.0,25.0,30.0,83.3,4.0,0.0,4.0,11.0,19.0,9.0,2.0,39.0,0.0,0.0,0.0,23.0
2022-08-30,Matchweek 5,Away,D 1–1,Everton,Leeds United,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,30.0,44.0,68.2,6.0,0.0,4.0,24.0,27.0,6.0,1.0,57.0,,2.0,0.0,27.0
2022-09-03,Matchweek 6,Home,D 0–0,Everton,Liverpool,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,31.0,46.0,67.4,0.0,0.0,2.0,23.0,20.0,16.0,0.0,59.0,,2.0,1.0,21.0
2022-09-18,Matchweek 8,Home,W 1–0,Everton,West Ham,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,5.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,47.0,58.0,81.0,2.0,0.0,5.0,23.0,29.0,21.0,0.0,73.0,,0.0,0.0,41.0
2022-10-01,Matchweek 9,Away,W 2–1,Everton,Southampton,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.0,3.0,3.0,0.0,0.0,0.1,1.0,0.0,32.0,41.0,78.0,3.0,0.0,6.0,27.0,23.0,6.0,0.0,56.0,,1.0,2.0,26.0
2022-10-09,Matchweek 10,Home,L 1–2,Everton,Manchester Utd,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,38.0,46.0,82.6,5.0,0.0,2.0,19.0,23.0,13.0,1.0,52.0,0.0,0.0,0.0,27.0
2022-10-15,Matchweek 11,Away,L 0–2,Everton,Tottenham,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,48.0,91.7,1.0,0.0,3.0,21.0,34.0,1.0,0.0,56.0,,0.0,0.0,44.0
2022-10-19,Matchweek 12,Away,L 0–1,Everton,Newcastle Utd,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,56.0,71.4,0.0,1.0,2.0,16.0,38.0,7.0,0.0,59.0,100.0,0.0,0.0,27.0
2022-10-22,Matchweek 13,Home,W 3–0,Everton,Crystal Palace,Y,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,63.0,2.0,1.0,2.0,0.1,0.1,0.0,1.0,1.0,44.0,56.0,78.6,0.0,1.0,2.0,12.0,32.0,19.0,1.0,63.0,100.0,2.0,1.0,32.0
2022-10-29,Matchweek 14,Away,D 0–0,Everton,Fulham,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,28.0,41.0,68.3,0.0,1.0,7.0,23.0,23.0,10.0,1.0,55.0,100.0,0.0,0.0,25.0
2022-11-05,Matchweek 15,Home,L 0–2,Everton,Leicester City,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,43.0,53.0,81.1,3.0,0.0,7.0,15.0,27.0,24.0,2.0,64.0,0.0,1.0,0.0,32.0
