Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-06,Matchweek 1,Away,1.0,2.0,Leeds United,1.3,0.8
2022-08-13,Matchweek 2,Home,0.0,0.0,Fulham,0.9,1.5
2022-08-20,Matchweek 3,Away,0.0,1.0,Tottenham,0.7,1.7
2022-08-28,Matchweek 4,Home,1.0,1.0,Newcastle Utd,0.7,1.7
2022-08-31,Matchweek 5,Away,0.0,0.0,Bournemouth,1.5,0.4
2022-09-03,Matchweek 6,Home,1.0,0.0,Southampton,0.8,1.2
2022-09-17,Matchweek 8,Home,0.0,3.0,Manchester City,0.4,1.1
2022-10-01,Matchweek 9,Away,0.0,2.0,West Ham,0.7,0.9
2022-10-08,Matchweek 10,Away,0.0,3.0,Chelsea,1.1,1.9
2022-10-15,Matchweek 11,Home,1.0,0.0,Nott'ham Forest,1.3,1.5
2022-10-18,Matchweek 12,Away,1.0,2.0,Crystal Palace,0.8,1.2
2022-10-23,Matchweek 13,Home,0.0,4.0,Leicester City,2.1,0.9
2022-10-29,Matchweek 14,Away,1.0,1.0,Brentford,0.6,1.4
2022-11-05,Matchweek 15,Home,2.0,3.0,Brighton,1.2,1.5
2022-11-12,Matchweek 16,Home,0.0,2.0,Arsenal,0.7,2.1
2022-12-26,Matchweek 17,Away,2.0,1.0,Everton,0.8,1.7
2022-12-31,Matchweek 18,Home,0.0,1.0,Manchester Utd,0.7,2.0
2023-01-04,Matchweek 19,Away,1.0,1.0,Aston Villa,0.9,1.8
2023-01-14,Matchweek 20,Home,1.0,0.0,West Ham,0.9,1.1
2023-01-22,Matchweek 21,Away,0.0,3.0,Manchester City,0.8,2.8
2023-02-04,Matchweek 22,Home,3.0,0.0,Liverpool,2.0,1.8
2023-02-11,Matchweek 23,Away,2.0,1.0,Southampton,0.8,1.1
2023-02-18,Matchweek 24,Home,0.0,1.0,Bournemouth,1.2,1.0
2023-02-24,Matchweek 25,Away,,,Fulham,,
2023-03-01,Matchweek 7,Away,,,Liverpool,,
2023-03-04,Matchweek 26,Home,,,Tottenham,,
2023-03-12,Matchweek 27,Away,,,Newcastle Utd,,
2023-03-18,Matchweek 28,Home,,,Leeds United,,
2023-04-01,Matchweek 29,Away,,,Nott'ham Forest,,
2023-04-08,Matchweek 30,Home,,,Chelsea,,
2023-04-15,Matchweek 31,Home,,,Brentford,,
2023-04-22,Matchweek 32,Away,,,Leicester City,,
2023-04-25,Matchweek 33,Home,,,Crystal Palace,,
2023-04-29,Matchweek 34,Away,,,Brighton,,
2023-05-06,Matchweek 35,Home,,,Aston Villa,,
2023-05-13,Matchweek 36,Away,,,Manchester Utd,,
2023-05-20,Matchweek 37,Home,,,Everton,,
2023-05-28,Matchweek 38,Away,,,Arsenal,,
