Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-06,Matchweek 1,Away,1.0,0.0,Everton,1.5,0.7
2022-08-14,Matchweek 2,Home,2.0,2.0,Tottenham,1.6,1.0
2022-08-21,Matchweek 3,Away,0.0,3.0,Leeds United,0.9,2.1
2022-08-27,Matchweek 4,Home,2.0,1.0,Leicester City,1.8,2.5
2022-08-30,Matchweek 5,Away,1.0,2.0,Southampton,1.1,1.1
2022-09-03,Matchweek 6,Home,2.0,1.0,West Ham,0.9,1.1
2022-09-18,Matchweek 8,Home,,,Liverpool,,
2022-10-01,Matchweek 9,Away,2.0,1.0,Crystal Palace,1.1,0.4
2022-10-08,Matchweek 10,Home,3.0,0.0,Wolves,1.9,1.1
2022-10-16,Matchweek 11,Away,2.0,0.0,Aston Villa,0.9,1.8
2022-10-19,Matchweek 12,Away,0.0,0.0,Brentford,0.9,1.3
2022-10-22,Matchweek 13,Home,1.0,1.0,Manchester Utd,1.1,0.8
2022-10-29,Matchweek 14,Away,1.0,4.0,Brighton,1.4,2.4
2022-11-06,Matchweek 15,Home,0.0,1.0,Arsenal,0.3,2.1
2022-11-12,Matchweek 16,Away,0.0,1.0,Newcastle Utd,0.3,1.0
2022-12-27,Matchweek 17,Home,2.0,0.0,Bournemouth,1.8,0.5
2023-01-01,Matchweek 18,Away,1.0,1.0,Nott'ham Forest,0.9,1.4
2023-01-05,Matchweek 19,Home,0.0,1.0,Manchester City,0.4,2.1
2023-01-12,Matchweek 7,Away,1.0,2.0,Fulham,2.1,1.0
2023-01-15,Matchweek 20,Home,1.0,0.0,Crystal Palace,1.5,0.7
2023-01-21,Matchweek 21,Away,0.0,0.0,Liverpool,1.6,1.4
2023-02-03,Matchweek 22,Home,0.0,0.0,Fulham,1.3,0.6
2023-02-11,Matchweek 23,Away,1.0,1.0,West Ham,1.2,1.2
2023-02-18,Matchweek 24,Home,0.0,1.0,Southampton,1.5,0.8
2023-02-26,Matchweek 25,Away,,,Tottenham,,
2023-03-04,Matchweek 26,Home,,,Leeds United,,
2023-03-11,Matchweek 27,Away,,,Leicester City,,
2023-03-18,Matchweek 28,Home,,,Everton,,
2023-04-01,Matchweek 29,Home,,,Aston Villa,,
2023-04-08,Matchweek 30,Away,,,Wolves,,
2023-04-15,Matchweek 31,Home,,,Brighton,,
2023-04-22,Matchweek 32,Away,,,Manchester Utd,,
2023-04-26,Matchweek 33,Home,,,Brentford,,
2023-04-29,Matchweek 34,Away,,,Arsenal,,
2023-05-06,Matchweek 35,Away,,,Bournemouth,,
2023-05-13,Matchweek 36,Home,,,Nott'ham Forest,,
2023-05-20,Matchweek 37,Away,,,Manchester City,,
2023-05-28,Matchweek 38,Home,,,Newcastle Utd,,
