Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-05,Matchweek 1,Home,0.0,2.0,Arsenal,1.2,1.0
2022-08-15,Matchweek 2,Away,1.0,1.0,Liverpool,1.0,2.0
2022-08-20,Matchweek 3,Home,3.0,1.0,Aston Villa,2.6,0.9
2022-08-27,Matchweek 4,Away,2.0,4.0,Manchester City,0.1,2.2
2022-08-30,Matchweek 5,Home,1.0,1.0,Brentford,1.0,1.4
2022-09-03,Matchweek 6,Away,0.0,0.0,Newcastle Utd,1.0,2.8
2022-09-17,Matchweek 8,Away,,,Brighton,,
2022-10-01,Matchweek 9,Home,1.0,2.0,Chelsea,0.4,1.1
2022-10-09,Matchweek 10,Home,2.0,1.0,Leeds United,1.1,1.0
2022-10-15,Matchweek 11,Away,0.0,0.0,Leicester City,0.4,1.0
2022-10-18,Matchweek 12,Home,2.0,1.0,Wolves,1.2,0.8
2022-10-22,Matchweek 13,Away,0.0,3.0,Everton,0.9,1.4
2022-10-29,Matchweek 14,Home,1.0,0.0,Southampton,0.9,1.3
2022-11-06,Matchweek 15,Away,2.0,1.0,West Ham,1.0,0.3
2022-11-12,Matchweek 16,Away,0.0,1.0,Nott'ham Forest,1.2,1.1
2022-12-26,Matchweek 17,Home,0.0,3.0,Fulham,0.4,2.5
2022-12-31,Matchweek 18,Away,2.0,0.0,Bournemouth,1.6,0.6
2023-01-04,Matchweek 19,Home,0.0,4.0,Tottenham,0.8,1.4
2023-01-15,Matchweek 20,Away,0.0,1.0,Chelsea,0.7,1.5
2023-01-18,Matchweek 7,Home,1.0,1.0,Manchester Utd,0.5,2.1
2023-01-21,Matchweek 21,Home,0.0,0.0,Newcastle Utd,0.3,1.2
2023-02-04,Matchweek 22,Away,,,Manchester Utd,,
2023-02-11,Matchweek 23,Home,,,Brighton,,
2023-02-18,Matchweek 24,Away,,,Brentford,,
2023-02-25,Matchweek 25,Home,,,Liverpool,,
2023-03-04,Matchweek 26,Away,,,Aston Villa,,
2023-03-11,Matchweek 27,Home,,,Manchester City,,
2023-03-19,Matchweek 28,Away,,,Arsenal,,
2023-04-01,Matchweek 29,Home,,,Leicester City,,
2023-04-08,Matchweek 30,Away,,,Leeds United,,
2023-04-15,Matchweek 31,Away,,,Southampton,,
2023-04-22,Matchweek 32,Home,,,Everton,,
2023-04-25,Matchweek 33,Away,,,Wolves,,
2023-04-29,Matchweek 34,Home,,,West Ham,,
2023-05-06,Matchweek 35,Away,,,Tottenham,,
2023-05-13,Matchweek 36,Home,,,Bournemouth,,
2023-05-20,Matchweek 37,Away,,,Fulham,,
2023-05-28,Matchweek 38,Home,,,Nott'ham Forest,,
