Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-06,Matchweek 1,Away,2.0,2.0,Fulham,1.2,1.2
2022-08-15,Matchweek 2,Home,1.0,1.0,Crystal Palace,2.0,1.0
2022-08-22,Matchweek 3,Away,1.0,2.0,Manchester Utd,1.3,1.8
2022-08-27,Matchweek 4,Home,9.0,0.0,Bournemouth,3.3,0.3
2022-08-31,Matchweek 5,Home,2.0,1.0,Newcastle Utd,1.5,0.7
2022-09-03,Matchweek 6,Away,0.0,0.0,Everton,2.1,1.7
2022-09-10,Matchweek 7,Home,,,Wolves,,
2022-09-18,Matchweek 8,Away,,,Chelsea,,
2022-10-01,Matchweek 9,Home,3.0,3.0,Brighton,1.5,1.4
2022-10-09,Matchweek 10,Away,2.0,3.0,Arsenal,1.1,2.7
2022-10-16,Matchweek 11,Home,1.0,0.0,Manchester City,2.1,1.0
2022-10-19,Matchweek 12,Home,1.0,0.0,West Ham,1.7,1.7
2022-10-22,Matchweek 13,Away,0.0,1.0,Nott'ham Forest,1.6,1.9
2022-10-29,Matchweek 14,Home,1.0,2.0,Leeds United,1.7,1.8
2022-11-06,Matchweek 15,Away,2.0,1.0,Tottenham,1.2,1.2
2022-11-12,Matchweek 16,Home,3.0,1.0,Southampton,1.9,1.1
2022-12-26,Matchweek 17,Away,3.0,1.0,Aston Villa,2.7,1.4
2022-12-30,Matchweek 18,Home,2.0,1.0,Leicester City,2.2,1.0
2023-01-02,Matchweek 19,Away,1.0,3.0,Brentford,2.0,1.7
2023-01-14,Matchweek 20,Away,0.0,3.0,Brighton,1.0,1.9
2023-01-21,Matchweek 21,Home,0.0,0.0,Chelsea,1.4,1.6
2023-02-04,Matchweek 22,Away,,,Wolves,,
2023-02-13,Matchweek 23,Home,,,Everton,,
2023-02-18,Matchweek 24,Away,,,Newcastle Utd,,
2023-02-25,Matchweek 25,Away,,,Crystal Palace,,
2023-03-05,Matchweek 26,Home,,,Manchester Utd,,
2023-03-11,Matchweek 27,Away,,,Bournemouth,,
2023-03-18,Matchweek 28,Home,,,Fulham,,
2023-04-01,Matchweek 29,Away,,,Manchester City,,
2023-04-08,Matchweek 30,Home,,,Arsenal,,
2023-04-15,Matchweek 31,Away,,,Leeds United,,
2023-04-22,Matchweek 32,Home,,,Nott'ham Forest,,
2023-04-25,Matchweek 33,Away,,,West Ham,,
2023-04-29,Matchweek 34,Home,,,Tottenham,,
2023-05-06,Matchweek 35,Home,,,Brentford,,
2023-05-13,Matchweek 36,Away,,,Leicester City,,
2023-05-20,Matchweek 37,Home,,,Aston Villa,,
2023-05-28,Matchweek 38,Away,,,Southampton,,
