Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-06,Matchweek 1,Home,2.0,0.0,Aston Villa,0.6,0.7
2022-08-13,Matchweek 2,Away,0.0,4.0,Manchester City,0.1,1.7
2022-08-20,Matchweek 3,Home,0.0,3.0,Arsenal,0.3,1.3
2022-08-27,Matchweek 4,Away,0.0,9.0,Liverpool,0.3,3.3
2022-08-31,Matchweek 5,Home,0.0,0.0,Wolves,0.4,1.5
2022-09-03,Matchweek 6,Away,3.0,2.0,Nott'ham Forest,0.8,1.9
2022-09-10,Matchweek 7,Home,,,Brighton,,
2022-09-17,Matchweek 8,Away,1.0,1.0,Newcastle Utd,0.7,1.9
2022-10-01,Matchweek 9,Home,0.0,0.0,Brentford,0.4,0.9
2022-10-08,Matchweek 10,Home,2.0,1.0,Leicester City,1.1,1.0
2022-10-15,Matchweek 11,Away,2.0,2.0,Fulham,1.0,2.1
2022-10-19,Matchweek 12,Home,0.0,1.0,Southampton,1.0,1.0
2022-10-24,Matchweek 13,Away,0.0,2.0,West Ham,0.4,1.9
2022-10-29,Matchweek 14,Home,2.0,3.0,Tottenham,0.5,2.0
2022-11-05,Matchweek 15,Away,3.0,4.0,Leeds United,1.5,2.2
2022-11-12,Matchweek 16,Home,3.0,0.0,Everton,2.4,0.8
2022-12-27,Matchweek 17,Away,0.0,2.0,Chelsea,0.5,1.8
2022-12-31,Matchweek 18,Home,0.0,2.0,Crystal Palace,0.6,1.6
2023-01-03,Matchweek 19,Away,0.0,3.0,Manchester Utd,0.6,2.2
2023-01-14,Matchweek 20,Away,0.0,2.0,Brentford,0.6,1.4
2023-01-21,Matchweek 21,Home,1.0,1.0,Nott'ham Forest,1.4,1.9
2023-02-04,Matchweek 22,Away,0.0,1.0,Brighton,1.1,2.2
2023-02-11,Matchweek 23,Home,1.0,1.0,Newcastle Utd,1.5,1.3
2023-02-18,Matchweek 24,Away,1.0,0.0,Wolves,1.0,1.2
2023-02-25,Matchweek 25,Home,,,Manchester City,,
2023-03-04,Matchweek 26,Away,,,Arsenal,,
2023-03-11,Matchweek 27,Home,,,Liverpool,,
2023-03-18,Matchweek 28,Away,,,Aston Villa,,
2023-04-01,Matchweek 29,Home,,,Fulham,,
2023-04-08,Matchweek 30,Away,,,Leicester City,,
2023-04-15,Matchweek 31,Away,,,Tottenham,,
2023-04-22,Matchweek 32,Home,,,West Ham,,
2023-04-26,Matchweek 33,Away,,,Southampton,,
2023-04-29,Matchweek 34,Home,,,Leeds United,,
2023-05-06,Matchweek 35,Home,,,Chelsea,,
2023-05-13,Matchweek 36,Away,,,Crystal Palace,,
2023-05-20,Matchweek 37,Home,,,Manchester Utd,,
2023-05-28,Matchweek 38,Away,,,Everton,,
