Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-07,Matchweek 1,Home,0.0,2.0,Manchester City,0.5,2.2
2022-08-14,Matchweek 2,Away,0.0,1.0,Nott'ham Forest,2.1,1.3
2022-08-21,Matchweek 3,Home,0.0,2.0,Brighton,0.8,1.7
2022-08-28,Matchweek 4,Away,1.0,0.0,Aston Villa,0.6,0.5
2022-08-31,Matchweek 5,Home,1.0,1.0,Tottenham,1.2,0.6
2022-09-03,Matchweek 6,Away,1.0,2.0,Chelsea,1.1,0.9
2022-09-11,Matchweek 7,Home,,,Newcastle Utd,,
2022-09-18,Matchweek 8,Away,0.0,1.0,Everton,1.0,0.4
2022-10-01,Matchweek 9,Home,2.0,0.0,Wolves,0.9,0.7
2022-10-09,Matchweek 10,Home,3.0,1.0,Fulham,2.4,0.7
2022-10-16,Matchweek 11,Away,1.0,1.0,Southampton,1.7,0.5
2022-10-19,Matchweek 12,Away,0.0,1.0,Liverpool,1.7,1.7
2022-10-24,Matchweek 13,Home,2.0,0.0,Bournemouth,1.9,0.4
2022-10-30,Matchweek 14,Away,0.0,1.0,Manchester Utd,1.1,1.2
2022-11-06,Matchweek 15,Home,1.0,2.0,Crystal Palace,0.3,1.0
2022-11-12,Matchweek 16,Home,0.0,2.0,Leicester City,1.4,1.8
2022-12-26,Matchweek 17,Away,1.0,3.0,Arsenal,1.0,2.1
2022-12-30,Matchweek 18,Home,0.0,2.0,Brentford,1.3,1.6
2023-01-04,Matchweek 19,Away,2.0,2.0,Leeds United,1.4,1.6
2023-01-14,Matchweek 20,Away,0.0,1.0,Wolves,1.1,0.9
2023-01-21,Matchweek 21,Home,2.0,0.0,Everton,2.2,0.5
2023-02-04,Matchweek 22,Away,,,Newcastle Utd,,
2023-02-11,Matchweek 23,Home,,,Chelsea,,
2023-02-19,Matchweek 24,Away,,,Tottenham,,
2023-02-25,Matchweek 25,Home,,,Nott'ham Forest,,
2023-03-04,Matchweek 26,Away,,,Brighton,,
2023-03-12,Matchweek 27,Home,,,Aston Villa,,
2023-03-19,Matchweek 28,Away,,,Manchester City,,
2023-04-01,Matchweek 29,Home,,,Southampton,,
2023-04-08,Matchweek 30,Away,,,Fulham,,
2023-04-15,Matchweek 31,Home,,,Arsenal,,
2023-04-22,Matchweek 32,Away,,,Bournemouth,,
2023-04-25,Matchweek 33,Home,,,Liverpool,,
2023-04-29,Matchweek 34,Away,,,Crystal Palace,,
2023-05-06,Matchweek 35,Home,,,Manchester Utd,,
2023-05-13,Matchweek 36,Away,,,Brentford,,
2023-05-20,Matchweek 37,Home,,,Leeds United,,
2023-05-28,Matchweek 38,Away,,,Leicester City,,
