Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-07,Matchweek 1,Away,2.0,2.0,Leicester City,0.8,0.6
2022-08-13,Matchweek 2,Home,4.0,0.0,Manchester Utd,1.6,0.9
2022-08-20,Matchweek 3,Away,2.0,3.0,Fulham,1.8,2.4
2022-08-27,Matchweek 4,Home,1.0,1.0,Everton,2.1,1.1
2022-08-30,Matchweek 5,Away,1.0,1.0,Crystal Palace,1.4,1.0
2022-09-03,Matchweek 6,Home,5.0,2.0,Leeds United,2.3,1.7
2022-09-18,Matchweek 8,Home,0.0,3.0,Arsenal,0.5,1.5
2022-10-01,Matchweek 9,Away,0.0,0.0,Bournemouth,0.9,0.4
2022-10-08,Matchweek 10,Away,1.0,5.0,Newcastle Utd,1.2,1.5
2022-10-14,Matchweek 11,Home,2.0,0.0,Brighton,1.5,1.9
2022-10-19,Matchweek 12,Home,0.0,0.0,Chelsea,1.3,0.9
2022-10-23,Matchweek 13,Away,0.0,4.0,Aston Villa,0.9,2.8
2022-10-29,Matchweek 14,Home,1.0,1.0,Wolves,1.4,0.6
2022-11-05,Matchweek 15,Away,2.0,2.0,Nott'ham Forest,1.5,1.5
2022-11-12,Matchweek 16,Away,2.0,1.0,Manchester City,1.3,1.6
2022-12-26,Matchweek 17,Home,2.0,2.0,Tottenham,2.0,1.1
2022-12-30,Matchweek 18,Away,2.0,0.0,West Ham,1.6,1.3
2023-01-02,Matchweek 19,Home,3.0,1.0,Liverpool,1.7,2.0
2023-01-14,Matchweek 20,Home,2.0,0.0,Bournemouth,1.4,0.6
2023-01-22,Matchweek 21,Away,0.0,0.0,Leeds United,0.4,0.5
2023-02-04,Matchweek 22,Home,3.0,0.0,Southampton,2.2,0.7
2023-02-11,Matchweek 23,Away,1.0,1.0,Arsenal,2.0,1.6
2023-02-18,Matchweek 24,Home,1.0,1.0,Crystal Palace,0.7,1.1
2023-02-26,Matchweek 25,Away,,,Manchester Utd,,
2023-03-06,Matchweek 26,Home,,,Fulham,,
2023-03-11,Matchweek 27,Away,,,Everton,,
2023-03-15,Matchweek 7,Away,,,Southampton,,
2023-03-18,Matchweek 28,Home,,,Leicester City,,
2023-04-01,Matchweek 29,Away,,,Brighton,,
2023-04-08,Matchweek 30,Home,,,Newcastle Utd,,
2023-04-15,Matchweek 31,Away,,,Wolves,,
2023-04-22,Matchweek 32,Home,,,Aston Villa,,
2023-04-26,Matchweek 33,Away,,,Chelsea,,
2023-04-29,Matchweek 34,Home,,,Nott'ham Forest,,
2023-05-06,Matchweek 35,Away,,,Liverpool,,
2023-05-13,Matchweek 36,Home,,,West Ham,,
2023-05-20,Matchweek 37,Away,,,Tottenham,,
2023-05-28,Matchweek 38,Home,,,Manchester City,,
