Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-07,Matchweek 1,Away,2.0,0.0,West Ham,2.2,0.5
2022-08-13,Matchweek 2,Home,4.0,0.0,Bournemouth,1.7,0.1
2022-08-21,Matchweek 3,Away,3.0,3.0,Newcastle Utd,2.1,1.8
2022-08-27,Matchweek 4,Home,4.0,2.0,Crystal Palace,2.2,0.1
2022-08-31,Matchweek 5,Home,6.0,0.0,Nott'ham Forest,3.3,0.7
2022-09-03,Matchweek 6,Away,1.0,1.0,Aston Villa,2.1,0.3
2022-09-17,Matchweek 8,Away,3.0,0.0,Wolves,1.1,0.4
2022-10-02,Matchweek 9,Home,6.0,3.0,Manchester Utd,3.2,1.7
2022-10-08,Matchweek 10,Home,4.0,0.0,Southampton,2.4,0.2
2022-10-16,Matchweek 11,Away,0.0,1.0,Liverpool,1.0,2.1
2022-10-22,Matchweek 13,Home,3.0,1.0,Brighton,1.6,0.5
2022-10-29,Matchweek 14,Away,1.0,0.0,Leicester City,1.0,0.7
2022-11-05,Matchweek 15,Home,2.0,1.0,Fulham,2.1,1.0
2022-11-12,Matchweek 16,Home,1.0,2.0,Brentford,1.6,1.3
2022-12-28,Matchweek 17,Away,3.0,1.0,Leeds United,4.3,0.6
2022-12-31,Matchweek 18,Home,1.0,1.0,Everton,1.7,0.1
2023-01-05,Matchweek 19,Away,1.0,0.0,Chelsea,2.1,0.4
2023-01-14,Matchweek 20,Away,1.0,2.0,Manchester Utd,0.6,1.7
2023-01-19,Matchweek 7,Home,4.0,2.0,Tottenham,2.3,0.8
2023-01-22,Matchweek 21,Home,3.0,0.0,Wolves,2.8,0.8
2023-02-05,Matchweek 22,Away,0.0,1.0,Tottenham,1.3,1.4
2023-02-12,Matchweek 23,Home,3.0,1.0,Aston Villa,3.6,0.3
2023-02-15,Matchweek 12,Away,3.0,1.0,Arsenal,1.7,1.6
2023-02-18,Matchweek 24,Away,1.0,1.0,Nott'ham Forest,2.5,1.0
2023-02-25,Matchweek 25,Away,,,Bournemouth,,
2023-03-04,Matchweek 26,Home,,,Newcastle Utd,,
2023-03-11,Matchweek 27,Away,,,Crystal Palace,,
2023-03-19,Matchweek 28,Home,,,West Ham,,
2023-04-01,Matchweek 29,Home,,,Liverpool,,
2023-04-08,Matchweek 30,Away,,,Southampton,,
2023-04-15,Matchweek 31,Home,,,Leicester City,,
2023-04-22,Matchweek 32,Away,,,Brighton,,
2023-04-26,Matchweek 33,Home,,,Arsenal,,
2023-04-29,Matchweek 34,Away,,,Fulham,,
2023-05-06,Matchweek 35,Home,,,Leeds United,,
2023-05-13,Matchweek 36,Away,,,Everton,,
2023-05-20,Matchweek 37,Home,,,Chelsea,,
2023-05-28,Matchweek 38,Away,,,Brentford,,
