Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-06,Matchweek 1,Home,2.0,2.0,Liverpool,1.2,1.2
2022-08-13,Matchweek 2,Away,0.0,0.0,Wolves,1.5,0.9
2022-08-20,Matchweek 3,Home,3.0,2.0,Brentford,2.4,1.8
2022-08-27,Matchweek 4,Away,1.0,2.0,Arsenal,0.8,2.6
2022-08-30,Matchweek 5,Home,2.0,1.0,Brighton,0.7,1.4
2022-09-03,Matchweek 6,Away,1.0,2.0,Tottenham,0.7,2.9
2022-09-16,Matchweek 8,Away,3.0,2.0,Nott'ham Forest,0.9,1.4
2022-10-01,Matchweek 9,Home,1.0,4.0,Newcastle Utd,0.5,3.3
2022-10-09,Matchweek 10,Away,1.0,3.0,West Ham,0.7,2.4
2022-10-15,Matchweek 11,Home,2.0,2.0,Bournemouth,2.1,1.0
2022-10-20,Matchweek 12,Home,3.0,0.0,Aston Villa,2.1,1.2
2022-10-23,Matchweek 13,Away,3.0,2.0,Leeds United,1.8,1.6
2022-10-29,Matchweek 14,Home,0.0,0.0,Everton,1.9,0.9
2022-11-05,Matchweek 15,Away,1.0,2.0,Manchester City,1.0,2.1
2022-11-13,Matchweek 16,Home,1.0,2.0,Manchester Utd,1.4,2.5
2022-12-26,Matchweek 17,Away,3.0,0.0,Crystal Palace,2.5,0.4
2022-12-31,Matchweek 18,Home,2.0,1.0,Southampton,1.5,0.8
2023-01-03,Matchweek 19,Away,1.0,0.0,Leicester City,1.7,1.7
2023-01-12,Matchweek 7,Home,2.0,1.0,Chelsea,1.0,2.1
2023-01-15,Matchweek 20,Away,0.0,1.0,Newcastle Utd,1.1,2.2
2023-01-23,Matchweek 21,Home,0.0,1.0,Tottenham,1.0,0.9
2023-02-03,Matchweek 22,Away,,,Chelsea,,
2023-02-11,Matchweek 23,Home,,,Nott'ham Forest,,
2023-02-18,Matchweek 24,Away,,,Brighton,,
2023-02-24,Matchweek 25,Home,,,Wolves,,
2023-03-06,Matchweek 26,Away,,,Brentford,,
2023-03-12,Matchweek 27,Home,,,Arsenal,,
2023-03-18,Matchweek 28,Away,,,Liverpool,,
2023-04-01,Matchweek 29,Away,,,Bournemouth,,
2023-04-08,Matchweek 30,Home,,,West Ham,,
2023-04-15,Matchweek 31,Away,,,Everton,,
2023-04-22,Matchweek 32,Home,,,Leeds United,,
2023-04-25,Matchweek 33,Away,,,Aston Villa,,
2023-04-29,Matchweek 34,Home,,,Manchester City,,
2023-05-06,Matchweek 35,Home,,,Leicester City,,
2023-05-13,Matchweek 36,Away,,,Southampton,,
2023-05-20,Matchweek 37,Home,,,Crystal Palace,,
2023-05-28,Matchweek 38,Away,,,Manchester Utd,,
