Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-07,Matchweek 1,Home,1.0,2.0,Brighton,1.4,1.5
2022-08-13,Matchweek 2,Away,0.0,4.0,Brentford,0.9,1.6
2022-08-22,Matchweek 3,Home,2.0,1.0,Liverpool,1.8,1.3
2022-08-27,Matchweek 4,Away,1.0,0.0,Southampton,1.1,1.4
2022-09-01,Matchweek 5,Away,1.0,0.0,Leicester City,1.5,0.7
2022-09-04,Matchweek 6,Home,3.0,1.0,Arsenal,1.5,1.3
2022-10-02,Matchweek 9,Away,3.0,6.0,Manchester City,1.7,3.2
2022-10-09,Matchweek 10,Away,2.0,1.0,Everton,1.4,0.6
2022-10-16,Matchweek 11,Home,0.0,0.0,Newcastle Utd,0.8,0.8
2022-10-19,Matchweek 12,Home,2.0,0.0,Tottenham,1.5,0.6
2022-10-22,Matchweek 13,Away,1.0,1.0,Chelsea,0.8,1.1
2022-10-30,Matchweek 14,Home,1.0,0.0,West Ham,1.2,1.1
2022-11-06,Matchweek 15,Away,1.0,3.0,Aston Villa,0.5,0.6
2022-11-13,Matchweek 16,Away,2.0,1.0,Fulham,2.5,1.4
2022-12-27,Matchweek 17,Home,3.0,0.0,Nott'ham Forest,2.4,0.7
2022-12-31,Matchweek 18,Away,1.0,0.0,Wolves,2.0,0.7
2023-01-03,Matchweek 19,Home,3.0,0.0,Bournemouth,2.2,0.6
2023-01-14,Matchweek 20,Home,2.0,1.0,Manchester City,1.7,0.6
2023-01-18,Matchweek 7,Away,1.0,1.0,Crystal Palace,2.1,0.5
2023-01-22,Matchweek 21,Away,2.0,3.0,Arsenal,0.4,3.1
2023-02-04,Matchweek 22,Home,,,Crystal Palace,,
2023-02-08,Matchweek 8,Home,,,Leeds United,,
2023-02-12,Matchweek 23,Away,,,Leeds United,,
2023-02-19,Matchweek 24,Home,,,Leicester City,,
2023-02-26,Matchweek 25,Home,,,Brentford,,
2023-03-05,Matchweek 26,Away,,,Liverpool,,
2023-03-11,Matchweek 27,Home,,,Southampton,,
2023-03-19,Matchweek 28,Away,,,Brighton,,
2023-04-01,Matchweek 29,Away,,,Newcastle Utd,,
2023-04-08,Matchweek 30,Home,,,Everton,,
2023-04-15,Matchweek 31,Away,,,Nott'ham Forest,,
2023-04-22,Matchweek 32,Home,,,Chelsea,,
2023-04-25,Matchweek 33,Away,,,Tottenham,,
2023-04-29,Matchweek 34,Home,,,Aston Villa,,
2023-05-06,Matchweek 35,Away,,,West Ham,,
2023-05-13,Matchweek 36,Home,,,Wolves,,
2023-05-20,Matchweek 37,Away,,,Bournemouth,,
2023-05-28,Matchweek 38,Home,,,Fulham,,
