Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-06,Matchweek 1,Home,0.0,1.0,Chelsea,0.7,1.5
2022-08-13,Matchweek 2,Away,1.0,2.0,Aston Villa,1.6,2.3
2022-08-20,Matchweek 3,Home,1.0,1.0,Nott'ham Forest,1.5,1.0
2022-08-27,Matchweek 4,Away,1.0,1.0,Brentford,1.1,2.1
2022-08-30,Matchweek 5,Away,1.0,1.0,Leeds United,1.0,1.0
2022-09-03,Matchweek 6,Home,0.0,0.0,Liverpool,1.7,2.1
2022-09-18,Matchweek 8,Home,1.0,0.0,West Ham,0.4,1.0
2022-10-01,Matchweek 9,Away,2.0,1.0,Southampton,2.0,1.7
2022-10-09,Matchweek 10,Home,1.0,2.0,Manchester Utd,0.6,1.4
2022-10-15,Matchweek 11,Away,0.0,2.0,Tottenham,0.4,2.2
2022-10-19,Matchweek 12,Away,0.0,1.0,Newcastle Utd,0.2,1.5
2022-10-22,Matchweek 13,Home,3.0,0.0,Crystal Palace,1.4,0.9
2022-10-29,Matchweek 14,Away,0.0,0.0,Fulham,0.9,1.9
2022-11-05,Matchweek 15,Home,0.0,2.0,Leicester City,1.2,2.3
2022-11-12,Matchweek 16,Away,0.0,3.0,Bournemouth,0.8,2.4
2022-12-26,Matchweek 17,Home,1.0,2.0,Wolves,1.7,0.8
2022-12-31,Matchweek 18,Away,1.0,1.0,Manchester City,0.1,1.7
2023-01-03,Matchweek 19,Home,1.0,4.0,Brighton,1.3,2.2
2023-01-14,Matchweek 20,Home,1.0,2.0,Southampton,1.4,1.2
2023-01-21,Matchweek 21,Away,0.0,2.0,West Ham,0.5,2.2
2023-02-04,Matchweek 22,Home,1.0,0.0,Arsenal,1.7,0.9
2023-02-13,Matchweek 23,Away,0.0,2.0,Liverpool,0.3,2.2
2023-02-18,Matchweek 24,Home,1.0,0.0,Leeds United,1.4,0.5
2023-02-25,Matchweek 25,Home,,,Aston Villa,,
2023-03-01,Matchweek 7,Away,,,Arsenal,,
2023-03-05,Matchweek 26,Away,,,Nott'ham Forest,,
2023-03-11,Matchweek 27,Home,,,Brentford,,
2023-03-18,Matchweek 28,Away,,,Chelsea,,
2023-04-01,Matchweek 29,Home,,,Tottenham,,
2023-04-08,Matchweek 30,Away,,,Manchester Utd,,
2023-04-15,Matchweek 31,Home,,,Fulham,,
2023-04-22,Matchweek 32,Away,,,Crystal Palace,,
2023-04-25,Matchweek 33,Home,,,Newcastle Utd,,
2023-04-29,Matchweek 34,Away,,,Leicester City,,
2023-05-06,Matchweek 35,Away,,,Brighton,,
2023-05-13,Matchweek 36,Home,,,Manchester City,,
2023-05-20,Matchweek 37,Away,,,Wolves,,
2023-05-28,Matchweek 38,Home,,,Bournemouth,,
