Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-06,Matchweek 1,Away,1.0,4.0,Tottenham,0.5,1.5
2022-08-13,Matchweek 2,Home,2.0,2.0,Leeds United,1.2,1.8
2022-08-20,Matchweek 3,Away,2.0,1.0,Leicester City,0.9,0.3
2022-08-27,Matchweek 4,Home,0.0,1.0,Manchester Utd,1.4,1.1
2022-08-30,Matchweek 5,Home,2.0,1.0,Chelsea,1.1,1.1
2022-09-03,Matchweek 6,Away,0.0,1.0,Wolves,1.2,0.8
2022-09-16,Matchweek 8,Away,0.0,1.0,Aston Villa,0.3,1.5
2022-10-01,Matchweek 9,Home,1.0,2.0,Everton,1.7,2.0
2022-10-08,Matchweek 10,Away,0.0,4.0,Manchester City,0.2,2.4
2022-10-16,Matchweek 11,Home,1.0,1.0,West Ham,0.5,1.7
2022-10-19,Matchweek 12,Away,1.0,0.0,Bournemouth,1.0,1.0
2022-10-23,Matchweek 13,Home,1.0,1.0,Arsenal,0.7,1.0
2022-10-29,Matchweek 14,Away,0.0,1.0,Crystal Palace,1.3,0.9
2022-11-06,Matchweek 15,Home,1.0,4.0,Newcastle Utd,1.7,0.9
2022-11-12,Matchweek 16,Away,1.0,3.0,Liverpool,1.1,1.9
2022-12-26,Matchweek 17,Home,1.0,3.0,Brighton,1.9,0.6
2022-12-31,Matchweek 18,Away,1.0,2.0,Fulham,0.8,1.5
2023-01-04,Matchweek 19,Home,0.0,1.0,Nott'ham Forest,0.5,1.4
2023-01-14,Matchweek 20,Away,2.0,1.0,Everton,1.2,1.4
2023-01-21,Matchweek 21,Home,0.0,1.0,Aston Villa,0.6,1.4
2023-02-04,Matchweek 22,Away,0.0,3.0,Brentford,0.7,2.2
2023-02-11,Matchweek 23,Home,1.0,2.0,Wolves,1.1,0.8
2023-02-18,Matchweek 24,Away,1.0,0.0,Chelsea,0.8,1.5
2023-02-25,Matchweek 25,Away,,,Leeds United,,
2023-03-04,Matchweek 26,Home,,,Leicester City,,
2023-03-11,Matchweek 27,Away,,,Manchester Utd,,
2023-03-15,Matchweek 7,Home,,,Brentford,,
2023-03-18,Matchweek 28,Home,,,Tottenham,,
2023-04-01,Matchweek 29,Away,,,West Ham,,
2023-04-08,Matchweek 30,Home,,,Manchester City,,
2023-04-15,Matchweek 31,Home,,,Crystal Palace,,
2023-04-22,Matchweek 32,Away,,,Arsenal,,
2023-04-26,Matchweek 33,Home,,,Bournemouth,,
2023-04-29,Matchweek 34,Away,,,Newcastle Utd,,
2023-05-06,Matchweek 35,Away,,,Nott'ham Forest,,
2023-05-13,Matchweek 36,Home,,,Fulham,,
2023-05-20,Matchweek 37,Away,,,Brighton,,
2023-05-28,Matchweek 38,Home,,,Liverpool,,
