Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-06,Matchweek 1,Home,2.0,1.0,Wolves,0.8,1.3
2022-08-13,Matchweek 2,Away,2.0,2.0,Southampton,1.8,1.2
2022-08-21,Matchweek 3,Home,3.0,0.0,Chelsea,2.1,0.9
2022-08-27,Matchweek 4,Away,0.0,1.0,Brighton,1.8,2.0
2022-08-30,Matchweek 5,Home,1.0,1.0,Everton,1.0,1.0
2022-09-03,Matchweek 6,Away,2.0,5.0,Brentford,1.7,2.3
2022-09-12,Matchweek 7,Home,,,Nott'ham Forest,,
2022-10-02,Matchweek 9,Home,0.0,0.0,Aston Villa,0.4,2.2
2022-10-09,Matchweek 10,Away,1.0,2.0,Crystal Palace,1.0,1.1
2022-10-16,Matchweek 11,Home,0.0,1.0,Arsenal,1.8,0.5
2022-10-20,Matchweek 12,Away,0.0,2.0,Leicester City,1.3,0.8
2022-10-23,Matchweek 13,Home,2.0,3.0,Fulham,1.6,1.8
2022-10-29,Matchweek 14,Away,2.0,1.0,Liverpool,1.8,1.7
2022-11-05,Matchweek 15,Home,4.0,3.0,Bournemouth,2.2,1.5
2022-11-12,Matchweek 16,Away,3.0,4.0,Tottenham,1.1,1.8
2022-12-28,Matchweek 17,Home,1.0,3.0,Manchester City,0.6,4.3
2022-12-31,Matchweek 18,Away,0.0,0.0,Newcastle Utd,0.4,2.2
2023-01-04,Matchweek 19,Home,2.0,2.0,West Ham,1.6,1.4
2023-01-13,Matchweek 20,Away,1.0,2.0,Aston Villa,2.4,1.2
2023-01-22,Matchweek 21,Home,0.0,0.0,Brentford,0.5,0.4
2023-02-05,Matchweek 22,Away,,,Nott'ham Forest,,
2023-02-08,Matchweek 8,Away,,,Manchester Utd,,
2023-02-12,Matchweek 23,Home,,,Manchester Utd,,
2023-02-18,Matchweek 24,Away,,,Everton,,
2023-02-25,Matchweek 25,Home,,,Southampton,,
2023-03-04,Matchweek 26,Away,,,Chelsea,,
2023-03-11,Matchweek 27,Home,,,Brighton,,
2023-03-18,Matchweek 28,Away,,,Wolves,,
2023-04-01,Matchweek 29,Away,,,Arsenal,,
2023-04-08,Matchweek 30,Home,,,Crystal Palace,,
2023-04-15,Matchweek 31,Home,,,Liverpool,,
2023-04-22,Matchweek 32,Away,,,Fulham,,
2023-04-25,Matchweek 33,Home,,,Leicester City,,
2023-04-29,Matchweek 34,Away,,,Bournemouth,,
2023-05-06,Matchweek 35,Away,,,Manchester City,,
2023-05-13,Matchweek 36,Home,,,Newcastle Utd,,
2023-05-20,Matchweek 37,Away,,,West Ham,,
2023-05-28,Matchweek 38,Home,,,Tottenham,,
